"Date","Ticker","close","day_pr_low","day_pr_high","week_pr_low","week_pr_high","month_pr_low","month_pr_high"
8/1/2024 0:00:00,"XLE",90.74,89.56,96.12,84.88,97.60,81.45,100.53
8/1/2024 0:00:00,"XLB",91.77,90.02,95.17,86.61,95.36,81.97,100.55
8/1/2024 0:00:00,"XLY",182.89,176.77,193.30,168.01,199.33,162.02,207.04
8/1/2024 0:00:00,"SPY",543.01,526.71,561.12,513.57,578.82,501.99,605.22
8/1/2024 0:00:00,"XLU",74.10,71.03,74.66,67.96,78.88,63.92,80.99
8/1/2024 0:00:00,"DIA",403.23,396.40,422.56,375.62,435.67,368.56,441.31
8/1/2024 0:00:00,"XLC",86.14,82.17,88.35,81.00,90.59,77.67,96.26
8/1/2024 0:00:00,"XLK",210.64,201.37,222.32,192.51,241.15,188.11,256.67
8/1/2024 0:00:00,"XLI",125.49,123.90,131.73,118.19,134.01,113.85,140.25
8/1/2024 0:00:00,"XLRE",41.83,40.43,42.80,39.44,43.88,35.61,46.34
8/1/2024 0:00:00,"XLK",210.64,201.37,222.32,192.51,241.15,188.11,256.67
8/1/2024 0:00:00,"XLP",78.57,76.74,79.90,75.50,82.12,72.51,85.54
8/1/2024 0:00:00,"QQQ",459.66,441.27,478.31,426.18,510.91,416.35,543.54
8/1/2024 0:00:00,"XLF",43.12,42.67,45.21,41.02,45.74,38.13,48.82
8/1/2024 0:00:00,"XLC",86.14,82.17,88.35,81.00,90.59,77.67,96.26
8/1/2024 0:00:00,"XLV",151.16,147.68,154.25,143.79,157.98,137.44,163.57
8/1/2024 0:00:00,"IWM",216.58,213.38,238.11,201.08,244.26,185.06,248.67
8/1/2024 0:00:00,"XLV",151.16,147.68,154.25,143.79,157.98,137.44,163.57
8/1/2024 0:00:00,"XLY",182.89,176.77,193.30,168.01,199.33,162.02,207.04
8/1/2024 0:00:00,"DIA",403.23,396.40,422.56,375.62,435.67,368.56,441.31
8/1/2024 0:00:00,"XLF",43.12,42.67,45.21,41.02,45.74,38.13,48.82
8/1/2024 0:00:00,"IWM",216.58,213.38,238.11,201.08,244.26,185.06,248.67
8/1/2024 0:00:00,"XLP",78.57,76.74,79.90,75.50,82.12,72.51,85.54
8/1/2024 0:00:00,"XLE",90.74,89.56,96.12,84.88,97.60,81.45,100.53
8/1/2024 0:00:00,"QQQ",459.66,441.27,478.31,426.18,510.91,416.35,543.54
8/1/2024 0:00:00,"XLRE",41.83,40.43,42.80,39.44,43.88,35.61,46.34
8/1/2024 0:00:00,"SPY",543.01,526.71,561.12,513.57,578.82,501.99,605.22
8/1/2024 0:00:00,"XLI",125.49,123.90,131.73,118.19,134.01,113.85,140.25
8/1/2024 0:00:00,"XLB",91.77,90.02,95.17,86.61,95.36,81.97,100.55
8/1/2024 0:00:00,"XLU",74.10,71.03,74.66,67.96,78.88,63.92,80.99
8/2/2024 0:00:00,"XLE",88.40,89.56,96.12,84.88,97.60,81.45,100.53
8/2/2024 0:00:00,"XLC",84.74,82.17,88.35,81.00,90.59,77.67,96.26
8/2/2024 0:00:00,"XLB",90.04,90.02,95.17,86.61,95.36,81.97,100.55
8/2/2024 0:00:00,"XLY",176.16,176.77,193.30,168.01,199.33,162.02,207.04
8/2/2024 0:00:00,"XLF",42.06,42.67,45.21,41.02,45.74,38.13,48.82
8/2/2024 0:00:00,"IWM",208.92,213.38,238.11,201.08,244.26,185.06,248.67
8/2/2024 0:00:00,"XLY",176.16,176.77,193.30,168.01,199.33,162.02,207.04
8/2/2024 0:00:00,"DIA",397.13,396.40,422.56,375.62,435.67,368.56,441.31
8/2/2024 0:00:00,"XLV",150.86,147.68,154.25,143.79,157.98,137.44,163.57
8/2/2024 0:00:00,"XLK",204.72,201.37,222.32,192.51,241.15,188.11,256.67
8/2/2024 0:00:00,"XLP",79.26,76.74,79.90,75.50,82.12,72.51,85.54
8/2/2024 0:00:00,"XLI",122.73,123.90,131.73,118.19,134.01,113.85,140.25
8/2/2024 0:00:00,"SPY",532.90,526.71,561.12,513.57,578.82,501.99,605.22
8/2/2024 0:00:00,"XLK",204.72,201.37,222.32,192.51,241.15,188.11,256.67
8/2/2024 0:00:00,"XLC",84.74,82.17,88.35,81.00,90.59,77.67,96.26
