"Date","Ticker","gap_lt","gap_lt_avg","gap_lt_hi","gap_lt_lo"
8/1/2024 0:00:00,"XLK",-25.10,-17.28,-7.24,-27.32
8/2/2024 0:00:00,"XLK",-31.02,-17.28,-7.24,-27.32
8/5/2024 0:00:00,"XLK",-37.84,-17.28,-7.24,-27.32
8/6/2024 0:00:00,"XLK",-35.15,-17.28,-7.24,-27.32
8/7/2024 0:00:00,"XLK",-38.40,-17.28,-7.24,-27.32
8/8/2024 0:00:00,"XLK",-31.03,-17.28,-7.24,-27.32
8/9/2024 0:00:00,"XLK",-30.11,-17.28,-7.24,-27.32
8/12/2024 0:00:00,"XLK",-28.43,-17.28,-7.24,-27.32
8/13/2024 0:00:00,"XLK",-22.06,-17.28,-7.24,-27.32
8/14/2024 0:00:00,"XLK",-20.89,-17.28,-7.24,-27.32
8/15/2024 0:00:00,"XLK",-14.71,-17.28,-7.24,-27.32
8/16/2024 0:00:00,"XLK",-14.34,-17.28,-7.24,-27.32
8/19/2024 0:00:00,"XLK",-10.69,-17.28,-7.24,-27.32
8/20/2024 0:00:00,"XLK",-11.48,-17.28,-7.24,-27.32
8/21/2024 0:00:00,"XLK",-10.16,-17.28,-7.24,-27.32
8/22/2024 0:00:00,"XLK",-15.35,-17.28,-7.24,-27.32
8/23/2024 0:00:00,"XLK",-11.78,-17.28,-7.24,-27.32
8/26/2024 0:00:00,"XLK",-14.59,-17.28,-7.24,-27.32
8/27/2024 0:00:00,"XLK",-13.25,-17.28,-7.24,-27.32
8/28/2024 0:00:00,"XLK",-16.32,-17.28,-7.24,-27.32
8/29/2024 0:00:00,"XLK",-18.30,-17.28,-7.24,-27.32
8/30/2024 0:00:00,"XLK",-15.41,-17.28,-7.24,-27.32
9/3/2024 0:00:00,"XLK",-25.80,-17.28,-7.24,-27.32
9/4/2024 0:00:00,"XLK",-26.34,-17.28,-7.24,-27.32
9/5/2024 0:00:00,"XLK",-26.66,-17.28,-7.24,-27.32
9/6/2024 0:00:00,"XLK",-32.09,-17.28,-7.24,-27.32
9/9/2024 0:00:00,"XLK",-28.75,-17.28,-7.24,-27.32
9/10/2024 0:00:00,"XLK",-25.65,-17.28,-7.24,-27.32
9/11/2024 0:00:00,"XLK",-18.47,-17.28,-7.24,-27.32
9/12/2024 0:00:00,"XLK",-16.67,-17.28,-7.24,-27.32
9/13/2024 0:00:00,"XLK",-15.57,-17.28,-7.24,-27.32
9/16/2024 0:00:00,"XLK",-16.41,-17.28,-7.24,-27.32
9/17/2024 0:00:00,"XLK",-16.84,-17.28,-7.24,-27.32
9/18/2024 0:00:00,"XLK",-18.84,-17.28,-7.24,-27.32
9/19/2024 0:00:00,"XLK",-12.39,-17.28,-7.24,-27.32
9/20/2024 0:00:00,"XLK",-13.48,-17.28,-7.24,-27.32
11/6/2024 0:00:00,"XLK",-21.09,-17.28,-7.24,-27.32
11/7/2024 0:00:00,"XLK",-17.02,-17.28,-7.24,-27.32
11/8/2024 0:00:00,"XLK",-17.28,-17.28,-7.24,-27.32
11/11/2024 0:00:00,"XLK",-18.59,-17.28,-7.24,-27.32
9/23/2024 0:00:00,"XLK",-13.92,-17.28,-7.24,-27.32
9/24/2024 0:00:00,"XLK",-12.40,-17.28,-7.24,-27.32
9/25/2024 0:00:00,"XLK",-11.76,-17.28,-7.24,-27.32
9/26/2024 0:00:00,"XLK",-8.79,-17.28,-7.24,-27.32
9/27/2024 0:00:00,"XLK",-10.91,-17.28,-7.24,-27.32
9/30/2024 0:00:00,"XLK",-10.25,-17.28,-7.24,-27.32
10/1/2024 0:00:00,"XLK",-26.81,-17.28,-7.24,-27.32
10/2/2024 0:00:00,"XLK",-25.18,-17.28,-7.24,-27.32
10/3/2024 0:00:00,"XLK",-24.26,-17.28,-7.24,-27.32
10/4/2024 0:00:00,"XLK",-21.78,-17.28,-7.24,-27.32
10/7/2024 0:00:00,"XLK",-23.33,-17.28,-7.24,-27.32
10/8/2024 0:00:00,"XLK",-19.15,-17.28,-7.24,-27.32
10/9/2024 0:00:00,"XLK",-16.60,-17.28,-7.24,-27.32
10/10/2024 0:00:00,"XLK",-16.66,-17.28,-7.24,-27.32
10/11/2024 0:00:00,"XLK",-16.26,-17.28,-7.24,-27.32
10/14/2024 0:00:00,"XLK",-13.25,-17.28,-7.24,-27.32
10/15/2024 0:00:00,"XLK",-18.39,-17.28,-7.24,-27.32
10/16/2024 0:00:00,"XLK",-17.68,-17.28,-7.24,-27.32
10/17/2024 0:00:00,"XLK",-16.98,-17.28,-7.24,-27.32
10/18/2024 0:00:00,"XLK",-16.16,-17.28,-7.24,-27.32
10/21/2024 0:00:00,"XLK",-15.08,-17.28,-7.24,-27.32
10/22/2024 0:00:00,"XLK",-15.32,-17.28,-7.24,-27.32
10/23/2024 0:00:00,"XLK",-18.64,-17.28,-7.24,-27.32
10/24/2024 0:00:00,"XLK",-17.97,-17.28,-7.24,-27.32
10/25/2024 0:00:00,"XLK",-16.78,-17.28,-7.24,-27.32
10/28/2024 0:00:00,"XLK",-16.85,-17.28,-7.24,-27.32
10/29/2024 0:00:00,"XLK",-13.75,-17.28,-7.24,-27.32
10/30/2024 0:00:00,"XLK",-17.46,-17.28,-7.24,-27.32
10/31/2024 0:00:00,"XLK",-24.83,-17.28,-7.24,-27.32
11/1/2024 0:00:00,"XLK",-30.53,-17.28,-7.24,-27.32
11/4/2024 0:00:00,"XLK",-30.70,-17.28,-7.24,-27.32
11/5/2024 0:00:00,"XLK",-27.55,-17.28,-7.24,-27.32
11/12/2024 0:00:00,"XLK",-18.29,-17.28,-7.24,-27.32
11/13/2024 0:00:00,"XLK",-19.11,-17.28,-7.24,-27.32
11/14/2024 0:00:00,"XLK",-19.91,-17.28,-7.24,-27.32
11/15/2024 0:00:00,"XLK",-25.73,-17.28,-7.24,-27.32
11/18/2024 0:00:00,"XLK",-24.99,-17.28,-7.24,-27.32
11/19/2024 0:00:00,"XLK",-23.11,-17.28,-7.24,-27.32
11/20/2024 0:00:00,"XLK",-23.31,-17.28,-7.24,-27.32
11/21/2024 0:00:00,"XLK",-20.96,-17.28,-7.24,-27.32
11/22/2024 0:00:00,"XLK",-20.84,-17.28,-7.24,-27.32
11/25/2024 0:00:00,"XLK",-20.85,-17.28,-7.24,-27.32
11/26/2024 0:00:00,"XLK",-19.68,-17.28,-7.24,-27.32
11/27/2024 0:00:00,"XLK",-22.86,-17.28,-7.24,-27.32
11/29/2024 0:00:00,"XLK",-20.71,-17.28,-7.24,-27.32
12/2/2024 0:00:00,"XLK",-22.85,-17.28,-7.24,-27.32
12/3/2024 0:00:00,"XLK",-22.00,-17.28,-7.24,-27.32
12/4/2024 0:00:00,"XLK",-17.67,-17.28,-7.24,-27.32
12/5/2024 0:00:00,"XLK",-18.89,-17.28,-7.24,-27.32
12/6/2024 0:00:00,"XLK",-17.96,-17.28,-7.24,-27.32
12/9/2024 0:00:00,"XLK",-19.53,-17.28,-7.24,-27.32
12/10/2024 0:00:00,"XLK",-22.85,-17.28,-7.24,-27.32
12/11/2024 0:00:00,"XLK",-19.43,-17.28,-7.24,-27.32
12/12/2024 0:00:00,"XLK",-20.77,-17.28,-7.24,-27.32
12/13/2024 0:00:00,"XLK",-19.75,-17.28,-7.24,-27.32
12/16/2024 0:00:00,"XLK",-17.36,-17.28,-7.24,-27.32
12/17/2024 0:00:00,"XLK",-18.82,-17.28,-7.24,-27.32
12/18/2024 0:00:00,"XLK",-26.56,-17.28,-7.24,-27.32
12/19/2024 0:00:00,"XLK",-26.31,-17.28,-7.24,-27.32
12/20/2024 0:00:00,"XLK",-22.84,-17.28,-7.24,-27.32
12/23/2024 0:00:00,"XLK",-20.73,-17.28,-7.24,-27.32
12/24/2024 0:00:00,"XLK",-18.27,-17.28,-7.24,-27.32
12/26/2024 0:00:00,"XLK",-18.11,-17.28,-7.24,-27.32
12/27/2024 0:00:00,"XLK",-21.31,-17.28,-7.24,-27.32
