"Date","Ticker","Z-Score","Z-Score_avg","Z-Score_hi","Z-Score_lo"
8/1/2024 0:00:00,"XLK",2.24,-0.05,1.40,-1.50
8/2/2024 0:00:00,"XLK",1.98,-0.05,1.40,-1.50
8/5/2024 0:00:00,"XLK",1.89,-0.05,1.40,-1.50
8/6/2024 0:00:00,"XLK",1.73,-0.05,1.40,-1.50
8/7/2024 0:00:00,"XLK",1.57,-0.05,1.40,-1.50
8/8/2024 0:00:00,"XLK",1.76,-0.05,1.40,-1.50
8/9/2024 0:00:00,"XLK",1.51,-0.05,1.40,-1.50
8/12/2024 0:00:00,"XLK",1.37,-0.05,1.40,-1.50
8/13/2024 0:00:00,"XLK",1.52,-0.05,1.40,-1.50
8/14/2024 0:00:00,"XLK",1.44,-0.05,1.40,-1.50
8/15/2024 0:00:00,"XLK",1.20,-0.05,1.40,-1.50
8/16/2024 0:00:00,"XLK",1.11,-0.05,1.40,-1.50
8/19/2024 0:00:00,"XLK",1.03,-0.05,1.40,-1.50
8/20/2024 0:00:00,"XLK",0.81,-0.05,1.40,-1.50
8/21/2024 0:00:00,"XLK",0.74,-0.05,1.40,-1.50
8/22/2024 0:00:00,"XLK",0.25,-0.05,1.40,-1.50
8/23/2024 0:00:00,"XLK",0.19,-0.05,1.40,-1.50
8/26/2024 0:00:00,"XLK",0.12,-0.05,1.40,-1.50
8/27/2024 0:00:00,"XLK",-0.01,-0.05,1.40,-1.50
8/28/2024 0:00:00,"XLK",-0.59,-0.05,1.40,-1.50
8/29/2024 0:00:00,"XLK",-2.05,-0.05,1.40,-1.50
8/30/2024 0:00:00,"XLK",-2.75,-0.05,1.40,-1.50
9/3/2024 0:00:00,"XLK",-1.50,-0.05,1.40,-1.50
9/4/2024 0:00:00,"XLK",-2.12,-0.05,1.40,-1.50
9/5/2024 0:00:00,"XLK",-1.90,-0.05,1.40,-1.50
9/6/2024 0:00:00,"XLK",-1.45,-0.05,1.40,-1.50
9/9/2024 0:00:00,"XLK",-1.80,-0.05,1.40,-1.50
9/10/2024 0:00:00,"XLK",-1.50,-0.05,1.40,-1.50
9/11/2024 0:00:00,"XLK",-0.89,-0.05,1.40,-1.50
9/12/2024 0:00:00,"XLK",-1.19,-0.05,1.40,-1.50
9/13/2024 0:00:00,"XLK",-1.09,-0.05,1.40,-1.50
9/16/2024 0:00:00,"XLK",-1.39,-0.05,1.40,-1.50
9/17/2024 0:00:00,"XLK",-1.27,-0.05,1.40,-1.50
9/18/2024 0:00:00,"XLK",-1.32,-0.05,1.40,-1.50
9/19/2024 0:00:00,"XLK",-0.69,-0.05,1.40,-1.50
9/20/2024 0:00:00,"XLK",-0.64,-0.05,1.40,-1.50
11/6/2024 0:00:00,"XLK",1.81,-0.05,1.40,-1.50
11/7/2024 0:00:00,"XLK",1.98,-0.05,1.40,-1.50
11/8/2024 0:00:00,"XLK",1.73,-0.05,1.40,-1.50
11/11/2024 0:00:00,"XLK",1.59,-0.05,1.40,-1.50
9/23/2024 0:00:00,"XLK",-0.94,-0.05,1.40,-1.50
9/24/2024 0:00:00,"XLK",-1.03,-0.05,1.40,-1.50
9/25/2024 0:00:00,"XLK",-1.11,-0.05,1.40,-1.50
9/26/2024 0:00:00,"XLK",-0.99,-0.05,1.40,-1.50
9/27/2024 0:00:00,"XLK",-1.18,-0.05,1.40,-1.50
9/30/2024 0:00:00,"XLK",-1.27,-0.05,1.40,-1.50
10/1/2024 0:00:00,"XLK",-0.46,-0.05,1.40,-1.50
10/2/2024 0:00:00,"XLK",-3.24,-0.05,1.40,-1.50
10/3/2024 0:00:00,"XLK",-2.56,-0.05,1.40,-1.50
10/4/2024 0:00:00,"XLK",-2.10,-0.05,1.40,-1.50
10/7/2024 0:00:00,"XLK",-2.46,-0.05,1.40,-1.50
10/8/2024 0:00:00,"XLK",-2.02,-0.05,1.40,-1.50
10/9/2024 0:00:00,"XLK",-1.80,-0.05,1.40,-1.50
10/10/2024 0:00:00,"XLK",-2.23,-0.05,1.40,-1.50
10/11/2024 0:00:00,"XLK",-1.94,-0.05,1.40,-1.50
10/14/2024 0:00:00,"XLK",-1.64,-0.05,1.40,-1.50
10/15/2024 0:00:00,"XLK",-1.08,-0.05,1.40,-1.50
10/16/2024 0:00:00,"XLK",-0.99,-0.05,1.40,-1.50
10/17/2024 0:00:00,"XLK",-0.99,-0.05,1.40,-1.50
10/18/2024 0:00:00,"XLK",-1.43,-0.05,1.40,-1.50
10/21/2024 0:00:00,"XLK",-1.34,-0.05,1.40,-1.50
10/22/2024 0:00:00,"XLK",-1.23,-0.05,1.40,-1.50
10/23/2024 0:00:00,"XLK",-0.95,-0.05,1.40,-1.50
10/24/2024 0:00:00,"XLK",-0.86,-0.05,1.40,-1.50
10/25/2024 0:00:00,"XLK",-0.91,-0.05,1.40,-1.50
10/28/2024 0:00:00,"XLK",-0.95,-0.05,1.40,-1.50
