"Date","Ticker","Sharpe","Sharpe_avg","Sharpe_hi","Sharpe_low"
8/1/2024 0:00:00,"XLK",-7.10,-1.72,2.04,-5.48
8/2/2024 0:00:00,"XLK",-8.50,-1.72,2.04,-5.48
8/5/2024 0:00:00,"XLK",-10.00,-1.72,2.04,-5.48
8/6/2024 0:00:00,"XLK",-9.20,-1.72,2.04,-5.48
8/7/2024 0:00:00,"XLK",-10.60,-1.72,2.04,-5.48
8/8/2024 0:00:00,"XLK",-7.30,-1.72,2.04,-5.48
8/9/2024 0:00:00,"XLK",-7.60,-1.72,2.04,-5.48
8/12/2024 0:00:00,"XLK",-7.40,-1.72,2.04,-5.48
8/13/2024 0:00:00,"XLK",-5.60,-1.72,2.04,-5.48
8/14/2024 0:00:00,"XLK",-3.80,-1.72,2.04,-5.48
8/15/2024 0:00:00,"XLK",-2.80,-1.72,2.04,-5.48
8/16/2024 0:00:00,"XLK",-2.10,-1.72,2.04,-5.48
8/19/2024 0:00:00,"XLK",-2.40,-1.72,2.04,-5.48
8/20/2024 0:00:00,"XLK",-2.40,-1.72,2.04,-5.48
8/21/2024 0:00:00,"XLK",-0.40,-1.72,2.04,-5.48
8/22/2024 0:00:00,"XLK",-1.00,-1.72,2.04,-5.48
8/23/2024 0:00:00,"XLK",-0.80,-1.72,2.04,-5.48
8/26/2024 0:00:00,"XLK",-1.20,-1.72,2.04,-5.48
8/27/2024 0:00:00,"XLK",0.20,-1.72,2.04,-5.48
8/28/2024 0:00:00,"XLK",-2.30,-1.72,2.04,-5.48
8/29/2024 0:00:00,"XLK",-1.10,-1.72,2.04,-5.48
8/30/2024 0:00:00,"XLK",1.00,-1.72,2.04,-5.48
9/3/2024 0:00:00,"XLK",0.30,-1.72,2.04,-5.48
9/4/2024 0:00:00,"XLK",-0.50,-1.72,2.04,-5.48
9/5/2024 0:00:00,"XLK",0.30,-1.72,2.04,-5.48
9/6/2024 0:00:00,"XLK",-2.90,-1.72,2.04,-5.48
9/9/2024 0:00:00,"XLK",-2.50,-1.72,2.04,-5.48
9/10/2024 0:00:00,"XLK",-2.10,-1.72,2.04,-5.48
9/11/2024 0:00:00,"XLK",-1.80,-1.72,2.04,-5.48
9/12/2024 0:00:00,"XLK",-1.70,-1.72,2.04,-5.48
9/13/2024 0:00:00,"XLK",-3.00,-1.72,2.04,-5.48
9/16/2024 0:00:00,"XLK",-3.50,-1.72,2.04,-5.48
9/17/2024 0:00:00,"XLK",-4.50,-1.72,2.04,-5.48
9/18/2024 0:00:00,"XLK",-4.90,-1.72,2.04,-5.48
9/19/2024 0:00:00,"XLK",-3.30,-1.72,2.04,-5.48
9/20/2024 0:00:00,"XLK",-2.30,-1.72,2.04,-5.48
11/6/2024 0:00:00,"XLK",-2.70,-1.72,2.04,-5.48
11/7/2024 0:00:00,"XLK",-1.30,-1.72,2.04,-5.48
11/8/2024 0:00:00,"XLK",-1.50,-1.72,2.04,-5.48
11/11/2024 0:00:00,"XLK",-2.90,-1.72,2.04,-5.48
9/23/2024 0:00:00,"XLK",-3.40,-1.72,2.04,-5.48
9/24/2024 0:00:00,"XLK",-2.40,-1.72,2.04,-5.48
9/25/2024 0:00:00,"XLK",-2.60,-1.72,2.04,-5.48
9/26/2024 0:00:00,"XLK",-1.00,-1.72,2.04,-5.48
9/27/2024 0:00:00,"XLK",-1.00,-1.72,2.04,-5.48
9/30/2024 0:00:00,"XLK",-1.60,-1.72,2.04,-5.48
10/1/2024 0:00:00,"XLK",-0.30,-1.72,2.04,-5.48
10/2/2024 0:00:00,"XLK",0.30,-1.72,2.04,-5.48
10/3/2024 0:00:00,"XLK",0.70,-1.72,2.04,-5.48
10/4/2024 0:00:00,"XLK",3.30,-1.72,2.04,-5.48
10/7/2024 0:00:00,"XLK",1.90,-1.72,2.04,-5.48
10/8/2024 0:00:00,"XLK",2.20,-1.72,2.04,-5.48
10/9/2024 0:00:00,"XLK",0.50,-1.72,2.04,-5.48
10/10/2024 0:00:00,"XLK",-0.10,-1.72,2.04,-5.48
10/11/2024 0:00:00,"XLK",-0.40,-1.72,2.04,-5.48
10/14/2024 0:00:00,"XLK",1.10,-1.72,2.04,-5.48
10/15/2024 0:00:00,"XLK",-0.50,-1.72,2.04,-5.48
10/16/2024 0:00:00,"XLK",0.50,-1.72,2.04,-5.48
10/17/2024 0:00:00,"XLK",-1.60,-1.72,2.04,-5.48
10/18/2024 0:00:00,"XLK",-1.00,-1.72,2.04,-5.48
10/21/2024 0:00:00,"XLK",-0.40,-1.72,2.04,-5.48
10/22/2024 0:00:00,"XLK",-1.00,-1.72,2.04,-5.48
10/23/2024 0:00:00,"XLK",-2.50,-1.72,2.04,-5.48
10/24/2024 0:00:00,"XLK",-3.50,-1.72,2.04,-5.48
10/25/2024 0:00:00,"XLK",-2.30,-1.72,2.04,-5.48
10/28/2024 0:00:00,"XLK",-2.70,-1.72,2.04,-5.48
10/29/2024 0:00:00,"XLK",0.80,-1.72,2.04,-5.48
10/30/2024 0:00:00,"XLK",-1.40,-1.72,2.04,-5.48
10/31/2024 0:00:00,"XLK",-4.10,-1.72,2.04,-5.48
11/1/2024 0:00:00,"XLK",-4.40,-1.72,2.04,-5.48
11/4/2024 0:00:00,"XLK",-3.90,-1.72,2.04,-5.48
11/5/2024 0:00:00,"XLK",-4.20,-1.72,2.04,-5.48
11/12/2024 0:00:00,"XLK",-1.20,-1.72,2.04,-5.48
11/13/2024 0:00:00,"XLK",-1.80,-1.72,2.04,-5.48
11/14/2024 0:00:00,"XLK",-2.30,-1.72,2.04,-5.48
11/15/2024 0:00:00,"XLK",-4.20,-1.72,2.04,-5.48
11/18/2024 0:00:00,"XLK",-4.30,-1.72,2.04,-5.48
11/19/2024 0:00:00,"XLK",-3.60,-1.72,2.04,-5.48
11/20/2024 0:00:00,"XLK",-2.60,-1.72,2.04,-5.48
11/21/2024 0:00:00,"XLK",-2.10,-1.72,2.04,-5.48
11/22/2024 0:00:00,"XLK",-2.40,-1.72,2.04,-5.48
11/25/2024 0:00:00,"XLK",-2.40,-1.72,2.04,-5.48
11/26/2024 0:00:00,"XLK",-3.00,-1.72,2.04,-5.48
11/27/2024 0:00:00,"XLK",-2.80,-1.72,2.04,-5.48
11/29/2024 0:00:00,"XLK",0.30,-1.72,2.04,-5.48
12/2/2024 0:00:00,"XLK",0.50,-1.72,2.04,-5.48
12/3/2024 0:00:00,"XLK",0.90,-1.72,2.04,-5.48
12/4/2024 0:00:00,"XLK",1.30,-1.72,2.04,-5.48
12/5/2024 0:00:00,"XLK",-1.60,-1.72,2.04,-5.48
12/6/2024 0:00:00,"XLK",-3.30,-1.72,2.04,-5.48
12/9/2024 0:00:00,"XLK",-4.00,-1.72,2.04,-5.48
12/10/2024 0:00:00,"XLK",-4.70,-1.72,2.04,-5.48
12/11/2024 0:00:00,"XLK",-3.20,-1.72,2.04,-5.48
12/12/2024 0:00:00,"XLK",-3.40,-1.72,2.04,-5.48
12/13/2024 0:00:00,"XLK",-2.60,-1.72,2.04,-5.48
12/16/2024 0:00:00,"XLK",0.80,-1.72,2.04,-5.48
12/17/2024 0:00:00,"XLK",-0.10,-1.72,2.04,-5.48
12/18/2024 0:00:00,"XLK",-3.60,-1.72,2.04,-5.48
12/19/2024 0:00:00,"XLK",-3.50,-1.72,2.04,-5.48
12/20/2024 0:00:00,"XLK",-3.00,-1.72,2.04,-5.48
12/23/2024 0:00:00,"XLK",-2.30,-1.72,2.04,-5.48
12/24/2024 0:00:00,"XLK",-1.40,-1.72,2.04,-5.48
12/26/2024 0:00:00,"XLK",-1.80,-1.72,2.04,-5.48
12/27/2024 0:00:00,"XLK",-1.70,-1.72,2.04,-5.48
12/30/2024 0:00:00,"XLK",-3.50,-1.72,2.04,-5.48
12/31/2024 0:00:00,"XLK",-5.00,-1.72,2.04,-5.48
1/2/2025 0:00:00,"XLK",-5.50,-1.72,2.04,-5.48
1/3/2025 0:00:00,"XLK",-5.40,-1.72,2.04,-5.48
1/6/2025 0:00:00,"XLK",-4.10,-1.72,2.04,-5.48
1/7/2025 0:00:00,"XLK",-5.70,-1.72,2.04,-5.48
1/8/2025 0:00:00,"XLK",-5.20,-1.72,2.04,-5.48
1/10/2025 0:00:00,"XLK",-5.50,-1.72,2.04,-5.48
