Date,Ticker,Sharpe_Rank
2024-08-01,A,97.7
2024-08-02,A,89.1
2024-08-05,A,81.2
2024-08-06,A,82.0
2024-08-08,A,61.1
2024-08-09,A,58.9
2024-08-12,A,58.6
2024-08-13,A,53.3
2024-08-14,A,56.5
2024-08-15,A,78.1
2024-08-16,A,80.3
2024-08-19,A,69.1
2024-08-20,A,84.3
2024-08-21,A,56.9
2024-08-22,A,52.7
2024-08-23,A,48.7
2024-08-26,A,46.2
2024-08-27,A,36.2
2024-08-28,A,28.0
2024-08-29,A,28.6
2024-08-30,A,53.5
2024-09-03,A,55.7
2024-09-04,A,36.7
2024-09-05,A,55.4
2024-09-06,A,20.2
2024-09-09,A,24.0
2024-09-10,A,36.7
2024-09-11,A,24.0
2024-09-12,A,15.7
2024-09-13,A,12.5
2024-09-16,A,10.4
2024-09-17,A,8.3
2024-09-18,A,17.3
2024-09-19,A,33.9
2024-09-20,A,20.2
2024-09-23,A,18.1
2024-09-24,A,36.4
2024-09-25,A,19.2
2024-09-26,A,73.0
2024-09-27,A,72.6
2024-09-30,A,72.2
2024-10-02,A,88.5
2024-10-03,A,74.2
2024-10-04,A,82.8
2024-10-07,A,70.6
2024-10-08,A,76.8
2024-10-09,A,72.1
2024-10-10,A,76.8
2024-10-11,A,76.4
2024-10-14,A,69.9
2024-10-15,A,73.0
2024-10-16,A,43.3
2024-10-17,A,22.4
2024-10-18,A,40.9
2024-10-21,A,30.8
2024-10-22,A,13.3
2024-10-23,A,18.1
2024-10-24,A,1.9
2024-10-25,A,0.6
2024-10-28,A,1.8
2024-10-29,A,3.0
2024-10-30,A,4.1
2024-10-31,A,5.2
2024-11-01,A,19.0
2024-11-04,A,31.2
2024-11-05,A,32.6
2024-11-06,A,24.4
2024-11-07,A,44.5
2024-11-08,A,25.5
2024-11-11,A,17.7
2024-11-12,A,16.5
2024-11-13,A,35.3
2024-11-14,A,23.4
2024-11-15,A,13.9
2024-11-18,A,18.4
2024-11-19,A,23.2
2024-11-20,A,38.0
2024-11-21,A,63.9
2024-11-22,A,68.6
2024-11-25,A,66.5
2024-11-26,A,66.8
2024-11-27,A,88.1
2024-11-29,A,92.5
2024-12-02,A,64.5
2024-12-03,A,52.8
2024-12-04,A,52.8
2024-12-05,A,54.5
2024-12-06,A,58.1
2024-12-09,A,91.1
2024-12-10,A,93.8
2024-12-11,A,91.7
2024-12-12,A,85.2
2024-12-13,A,95.3
2024-12-16,A,96.2
2024-12-17,A,95.3
2024-12-18,A,91.2
2024-12-19,A,69.6
2024-12-20,A,57.0
2024-12-23,A,46.3
2024-12-24,A,51.2
2024-12-26,A,50.4
2024-12-27,A,25.2
2024-12-30,A,17.5
2024-12-31,A,12.2
2025-01-02,A,10.2
2025-01-03,A,18.2
2025-01-06,A,33.5
2025-01-07,A,22.9
2025-01-08,A,7.2
2025-01-10,A,9.4
2025-01-13,A,48.5
2025-01-14,A,58.9
2025-01-15,A,63.6
2025-01-16,A,90.9
2025-01-17,A,98.2
2025-01-21,A,99.6
2025-01-22,A,99.6
2025-01-23,A,98.6
2025-01-24,A,97.5
2025-01-27,A,96.9
2025-01-28,A,95.5
2025-01-29,A,94.1
2025-01-30,A,96.9
2025-01-31,A,96.9
2025-02-03,A,93.6
2025-02-04,A,90.3
2025-02-05,A,90.7
2025-02-06,A,87.4
2025-02-07,A,85.2
2025-02-10,A,75.5
2025-02-11,A,46.4
2025-02-12,A,24.8
2025-02-13,A,23.7
2025-02-14,A,11.5
2025-02-18,A,7.0
2025-02-19,A,3.8
2025-02-20,A,3.4
2025-02-21,A,1.9
2025-02-24,A,3.4
2025-02-25,A,2.1
2025-02-26,A,5.2
2025-02-27,A,6.4
2025-02-28,A,3.9
2025-03-03,A,0.3
2025-03-04,A,0.3
2025-03-05,A,8.0
2025-03-06,A,7.9
2025-03-07,A,8.5
2025-03-10,A,7.8
2025-03-11,A,8.4
2025-03-12,A,9.2
2025-03-13,A,11.4
2025-03-14,A,16.8
2025-03-17,A,22.3
2025-03-18,A,23.0
2025-03-19,A,17.3
2025-03-20,A,14.4
2025-03-21,A,18.0
2025-03-24,A,21.4
2025-03-25,A,20.5
2025-03-26,A,19.0
2025-03-27,A,34.3
2025-03-28,A,16.7
2025-03-31,A,23.8
2025-04-01,A,25.5
2025-04-02,A,20.1
2025-04-03,A,12.4
2025-04-04,A,11.3
2025-04-07,A,14.3
2025-04-08,A,11.7
2025-04-09,A,38.4
2025-04-10,A,31.8
2025-04-11,A,31.9
2025-04-14,A,34.3
2025-04-15,A,28.8
2025-04-16,A,29.9
2025-04-17,A,32.5
2025-04-21,A,25.9
2025-04-22,A,31.4
2025-04-23,A,40.9
2025-04-24,A,44.9
2025-04-25,A,45.9
2025-04-28,A,53.4
2025-04-29,A,53.9
2025-04-30,A,58.7
2025-05-01,A,52.9
2025-05-02,A,68.8
2025-05-05,A,82.9
2025-05-06,A,72.6
2025-05-07,A,89.9
2025-05-08,A,70.3
2025-05-09,A,89.3
2025-05-12,A,94.7
2025-05-13,A,91.2
2025-05-14,A,89.2
2025-05-15,A,90.6
2025-05-16,A,93.4
2025-05-19,A,94.8
2025-05-20,A,91.4
2025-05-21,A,75.6
2025-05-22,A,70.3
2025-05-23,A,69.1
2025-05-27,A,77.0
2025-05-28,A,72.5
2025-05-29,A,80.9
2025-05-30,A,80.8
2025-06-02,A,69.1
2025-06-03,A,76.4
2025-06-04,A,88.6
2025-06-05,A,83.7
2025-06-06,A,85.5
2025-06-09,A,89.1
2025-06-11,A,71.5
2025-06-12,A,87.0
2025-06-13,A,74.5
2025-06-16,A,77.1
2025-06-17,A,61.6
2025-06-18,A,60.1
2025-06-20,A,85.6
2025-06-23,A,85.5
2025-06-24,A,92.9
2025-06-25,A,87.2
2025-06-26,A,90.5
2025-06-27,A,81.2
2025-06-30,A,82.3
2025-07-01,A,94.0
2025-07-02,A,87.6
2025-07-03,A,83.7
2025-07-07,A,75.2
2025-07-08,A,73.6
2025-07-09,A,68.7
2025-07-10,A,61.1
2025-07-11,A,58.7
2025-07-14,A,50.8
2025-07-15,A,39.1
2025-07-16,A,33.1
2025-07-17,A,52.2
2025-07-18,A,47.0
2025-07-21,A,42.5
2025-07-22,A,53.4
2025-07-23,A,57.1
2025-07-24,A,56.9
2025-07-25,A,54.4
2025-07-28,A,53.6
2025-07-29,A,56.7
2025-07-30,A,45.6
2025-07-31,A,37.5
2025-08-01,A,31.9
2025-08-04,A,42.7
2025-08-05,A,37.5
2025-08-06,A,31.9
2025-08-07,A,27.2
2025-08-08,A,29.4
2025-08-11,A,37.3
2025-08-12,A,72.8
2025-08-13,A,85.5
2025-08-14,A,60.5
2025-08-15,A,75.8
2025-08-18,A,81.7
2025-08-19,A,67.3
2025-08-20,A,46.6
2025-08-21,A,32.9
2025-08-22,A,55.2
2025-08-25,A,49.8
2025-08-26,A,46.0
2025-08-27,A,53.4
2025-08-28,A,91.1
2025-08-29,A,95.4
2025-09-02,A,91.9
2025-09-03,A,97.0
2025-09-04,A,98.6
2024-08-01,AAPL,2.3
2024-08-02,AAPL,2.2
2024-08-05,AAPL,2.1
2024-08-06,AAPL,2.0
2024-08-07,AAPL,1.9
2024-08-08,AAPL,13.0
2024-08-09,AAPL,14.3
2024-08-12,AAPL,12.1
2024-08-13,AAPL,21.7
2024-08-14,AAPL,27.4
2024-08-15,AAPL,34.4
2024-08-16,AAPL,37.9
2024-08-19,AAPL,41.2
2024-08-20,AAPL,37.1
2024-08-21,AAPL,51.4
2024-08-22,AAPL,50.0
2024-08-23,AAPL,56.6
2024-08-26,AAPL,56.4
2024-08-27,AAPL,58.8
2024-08-28,AAPL,40.2
2024-08-29,AAPL,65.5
2024-08-30,AAPL,54.7
2024-09-03,AAPL,69.3
2024-09-04,AAPL,71.1
2024-09-05,AAPL,66.3
2024-09-06,AAPL,41.5
2024-09-09,AAPL,21.9
2024-09-10,AAPL,21.4
2024-09-11,AAPL,19.0
2024-09-12,AAPL,16.7
2024-09-13,AAPL,10.6
2024-09-16,AAPL,0.9
2024-09-17,AAPL,4.6
2024-09-18,AAPL,11.8
2024-09-19,AAPL,36.6
2024-09-20,AAPL,44.7
2024-09-23,AAPL,30.2
2024-09-24,AAPL,31.4
2024-09-25,AAPL,28.3
2024-09-26,AAPL,33.6
2024-09-27,AAPL,26.6
2024-09-30,AAPL,50.0
2024-10-01,AAPL,51.6
2024-10-02,AAPL,57.7
2024-10-03,AAPL,47.0
2024-10-04,AAPL,58.2
2024-10-07,AAPL,36.0
2024-10-08,AAPL,60.1
2024-10-09,AAPL,62.1
2024-10-10,AAPL,61.3
2024-10-11,AAPL,56.2
2024-10-14,AAPL,82.9
2024-10-15,AAPL,87.2
2024-10-16,AAPL,74.7
2024-10-17,AAPL,46.7
2024-10-18,AAPL,59.7
2024-10-21,AAPL,72.4
2024-10-22,AAPL,68.4
2024-10-23,AAPL,48.8
2024-10-24,AAPL,42.0
2024-10-25,AAPL,45.1
2024-10-28,AAPL,27.1
2024-10-29,AAPL,63.1
2024-10-30,AAPL,34.7
2024-10-31,AAPL,24.4
2024-11-01,AAPL,14.9
2024-11-04,AAPL,25.6
2024-11-05,AAPL,16.3
2024-11-06,AAPL,7.2
2024-11-07,AAPL,19.2
2024-11-08,AAPL,22.3
2024-11-11,AAPL,8.6
2024-11-12,AAPL,4.8
2024-11-13,AAPL,7.9
2024-11-14,AAPL,16.1
2024-11-15,AAPL,5.7
2024-11-18,AAPL,8.7
2024-11-19,AAPL,11.1
2024-11-20,AAPL,25.0
2024-11-21,AAPL,20.3
2024-11-22,AAPL,22.1
2024-11-25,AAPL,29.1
2024-11-26,AAPL,34.6
2024-11-27,AAPL,52.9
2024-11-29,AAPL,82.5
2024-12-02,AAPL,93.0
2024-12-03,AAPL,97.7
2024-12-04,AAPL,95.0
2024-12-05,AAPL,97.3
2024-12-06,AAPL,88.7
2024-12-09,AAPL,95.1
2024-12-10,AAPL,99.6
2024-12-11,AAPL,98.2
2024-12-12,AAPL,99.6
2024-12-13,AAPL,95.7
2024-12-16,AAPL,99.6
2024-12-17,AAPL,99.6
2024-12-18,AAPL,89.5
2024-12-19,AAPL,93.8
2024-12-20,AAPL,97.9
2024-12-23,AAPL,96.7
2024-12-24,AAPL,93.9
2024-12-26,AAPL,92.3
2024-12-27,AAPL,83.6
2024-12-30,AAPL,74.2
2024-12-31,AAPL,66.9
2025-01-02,AAPL,32.8
2025-01-03,AAPL,30.2
2025-01-06,AAPL,36.2
2025-01-07,AAPL,27.9
2025-01-08,AAPL,18.9
2025-01-10,AAPL,9.4
2025-01-13,AAPL,6.0
