"Date","Ticker","ticker_name","exposure","category","close","model_score"
8/1/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",210.64,-49.96
8/2/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",204.72,-1.26
8/5/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",197.90,28.02
8/6/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",200.59,-17.40
8/7/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",197.34,-10.04
8/8/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",204.71,-6.25
8/9/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",205.63,-16.64
8/12/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",207.31,-14.74
8/13/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",213.68,-15.41
8/14/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",214.85,-14.40
8/15/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",221.03,-12.76
8/16/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",221.40,-9.84
8/19/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",225.05,-0.90
8/20/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",224.26,-0.46
8/21/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",225.58,-0.38
8/22/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",220.39,-2.97
8/23/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",223.96,-0.20
8/26/2024 0:00:00,"XLK","Sel Sector:Tech SPDR","Information Technology","Sector Style ETFs",221.15,-5.71
