Ticker,Date,Zscore,prem_disc
A,2025-09-05,0.1,-0.0431
A,2025-08-06,0.7,-0.0937
AAPL,2025-09-05,-2.46,-0.1888
AAPL,2025-08-06,2.54,0.9182
ABBV,2025-09-05,-1.65,0.7829
ABBV,2025-08-06,0.69,-0.2161
ABNB,2025-09-05,-1.17,-0.2341
ABNB,2025-08-06,1.43,-0.0686
ABT,2025-09-05,-0.84,0.2723
ABT,2025-08-06,0.59,-0.139
ACGL,2025-09-05,-1.08,0.2218
ACGL,2025-08-06,-0.51,-0.09
ACN,2025-09-05,-2.49,0.8134
ACN,2025-08-06,0.08,0.5965
ADBE,2025-09-05,0.36,0.6033
ADBE,2025-08-06,-0.5,1.0762
ADI,2025-09-05,0.52,-0.1461
ADI,2025-08-06,-0.57,1.2985
ADM,2025-09-05,-3.08,0.3094
ADM,2025-08-06,0.86,-0.3536
ADP,2025-09-05,-0.66,0.2975
ADP,2025-08-06,-0.81,0.8606
ADSK,2025-09-05,1.42,-0.4115
ADSK,2025-08-06,0.58,-0.1902
AEE,2025-09-05,-1.87,0.8119
AEE,2025-08-06,1.47,0.1416
AEP,2025-09-05,-1.75,0.2476
AEP,2025-08-06,1.77,0.061
AES,2025-09-05,-1.63,0.8103
AES,2025-08-06,-0.57,-0.7356
AFL,2025-09-05,-2.16,0.2749
AFL,2025-08-06,3.27,-0.0282
AIG,2025-09-05,0.82,0.0798
AIG,2025-08-06,-1.59,1.0382
AIZ,2025-09-05,-4.31,-0.2787
AIZ,2025-08-06,4.24,-0.3811
AJG,2025-09-05,-1.32,0.5749
AJG,2025-08-06,1.37,-0.3498
AKAM,2025-09-05,-0.02,-0.1498
AKAM,2025-08-06,1.36,-0.1316
ALB,2025-09-05,-0.83,-0.1233
ALB,2025-08-06,0.53,-0.6104
ALGN,2025-09-05,-1.72,-0.0539
ALGN,2025-08-06,1.75,-0.8063
ALL,2025-09-05,-1.22,-0.1979
ALL,2025-08-06,1.35,-0.2611
ALLE,2025-09-05,-0.82,0.1825
ALLE,2025-08-06,0.97,-0.3172
AMAT,2025-09-05,0.59,-0.5101
AMAT,2025-08-06,0.2,0.1948
AMCR,2025-09-05,0.55,-0.4163
AMCR,2025-08-06,-1.89,-0.4152
AMD,2025-09-05,-0.71,-0.1896
AMD,2025-08-06,0.83,-0.413
AME,2025-09-05,-1.5,0.1421
AME,2025-08-06,1.63,0.138
AMGN,2025-09-05,-3.48,0.1732
AMGN,2025-08-06,0.12,-0.3811
AMP,2025-09-05,0.51,-0.1091
AMP,2025-08-06,1.35,-0.0103
AMT,2025-09-05,-1.07,0.2005
