"Date","Ticker","daily_range","daily_range_avg","daily_range_hi","daily_range_lo"
8/1/2024 0:00:00,"XLK",12.30,4.00,6.60,1.40
8/2/2024 0:00:00,"XLK",5.50,4.00,6.60,1.40
8/5/2024 0:00:00,"XLK",11.00,4.00,6.60,1.40
8/6/2024 0:00:00,"XLK",6.40,4.00,6.60,1.40
8/7/2024 0:00:00,"XLK",9.40,4.00,6.60,1.40
8/8/2024 0:00:00,"XLK",7.20,4.00,6.60,1.40
8/9/2024 0:00:00,"XLK",3.50,4.00,6.60,1.40
8/12/2024 0:00:00,"XLK",3.60,4.00,6.60,1.40
8/13/2024 0:00:00,"XLK",4.10,4.00,6.60,1.40
8/14/2024 0:00:00,"XLK",4.00,4.00,6.60,1.40
8/15/2024 0:00:00,"XLK",4.10,4.00,6.60,1.40
8/16/2024 0:00:00,"XLK",2.60,4.00,6.60,1.40
8/19/2024 0:00:00,"XLK",5.10,4.00,6.60,1.40
8/20/2024 0:00:00,"XLK",2.90,4.00,6.60,1.40
8/21/2024 0:00:00,"XLK",2.70,4.00,6.60,1.40
8/22/2024 0:00:00,"XLK",7.40,4.00,6.60,1.40
8/23/2024 0:00:00,"XLK",3.80,4.00,6.60,1.40
8/26/2024 0:00:00,"XLK",4.60,4.00,6.60,1.40
8/27/2024 0:00:00,"XLK",4.30,4.00,6.60,1.40
8/28/2024 0:00:00,"XLK",5.00,4.00,6.60,1.40
8/29/2024 0:00:00,"XLK",5.70,4.00,6.60,1.40
8/30/2024 0:00:00,"XLK",3.70,4.00,6.60,1.40
9/3/2024 0:00:00,"XLK",9.20,4.00,6.60,1.40
9/4/2024 0:00:00,"XLK",4.60,4.00,6.60,1.40
9/5/2024 0:00:00,"XLK",4.00,4.00,6.60,1.40
9/6/2024 0:00:00,"XLK",6.70,4.00,6.60,1.40
9/9/2024 0:00:00,"XLK",3.00,4.00,6.60,1.40
9/10/2024 0:00:00,"XLK",4.10,4.00,6.60,1.40
9/11/2024 0:00:00,"XLK",10.10,4.00,6.60,1.40
9/12/2024 0:00:00,"XLK",4.40,4.00,6.60,1.40
9/13/2024 0:00:00,"XLK",2.30,4.00,6.60,1.40
9/16/2024 0:00:00,"XLK",2.70,4.00,6.60,1.40
9/17/2024 0:00:00,"XLK",4.10,4.00,6.60,1.40
9/18/2024 0:00:00,"XLK",4.30,4.00,6.60,1.40
9/19/2024 0:00:00,"XLK",3.00,4.00,6.60,1.40
9/20/2024 0:00:00,"XLK",3.00,4.00,6.60,1.40
11/6/2024 0:00:00,"XLK",3.20,4.00,6.60,1.40
11/7/2024 0:00:00,"XLK",2.80,4.00,6.60,1.40
11/8/2024 0:00:00,"XLK",1.60,4.00,6.60,1.40
11/11/2024 0:00:00,"XLK",2.80,4.00,6.60,1.40
9/23/2024 0:00:00,"XLK",1.20,4.00,6.60,1.40
9/24/2024 0:00:00,"XLK",3.40,4.00,6.60,1.40
9/25/2024 0:00:00,"XLK",2.20,4.00,6.60,1.40
9/26/2024 0:00:00,"XLK",4.00,4.00,6.60,1.40
9/27/2024 0:00:00,"XLK",3.40,4.00,6.60,1.40
9/30/2024 0:00:00,"XLK",2.90,4.00,6.60,1.40
10/1/2024 0:00:00,"XLK",6.30,4.00,6.60,1.40
10/2/2024 0:00:00,"XLK",3.80,4.00,6.60,1.40
10/3/2024 0:00:00,"XLK",3.20,4.00,6.60,1.40
10/4/2024 0:00:00,"XLK",2.90,4.00,6.60,1.40
10/7/2024 0:00:00,"XLK",2.60,4.00,6.60,1.40
10/8/2024 0:00:00,"XLK",3.50,4.00,6.60,1.40
10/9/2024 0:00:00,"XLK",3.40,4.00,6.60,1.40
10/10/2024 0:00:00,"XLK",2.70,4.00,6.60,1.40
10/11/2024 0:00:00,"XLK",1.80,4.00,6.60,1.40
10/14/2024 0:00:00,"XLK",2.10,4.00,6.60,1.40
10/15/2024 0:00:00,"XLK",6.70,4.00,6.60,1.40
10/16/2024 0:00:00,"XLK",2.80,4.00,6.60,1.40
10/17/2024 0:00:00,"XLK",2.60,4.00,6.60,1.40
10/18/2024 0:00:00,"XLK",1.30,4.00,6.60,1.40
10/21/2024 0:00:00,"XLK",2.20,4.00,6.60,1.40
10/22/2024 0:00:00,"XLK",2.40,4.00,6.60,1.40
10/23/2024 0:00:00,"XLK",4.80,4.00,6.60,1.40
10/24/2024 0:00:00,"XLK",1.90,4.00,6.60,1.40
10/25/2024 0:00:00,"XLK",2.90,4.00,6.60,1.40
10/28/2024 0:00:00,"XLK",1.80,4.00,6.60,1.40
10/29/2024 0:00:00,"XLK",4.20,4.00,6.60,1.40
10/30/2024 0:00:00,"XLK",2.40,4.00,6.60,1.40
10/31/2024 0:00:00,"XLK",4.90,4.00,6.60,1.40
11/1/2024 0:00:00,"XLK",3.40,4.00,6.60,1.40
11/4/2024 0:00:00,"XLK",2.60,4.00,6.60,1.40
11/5/2024 0:00:00,"XLK",2.60,4.00,6.60,1.40
11/12/2024 0:00:00,"XLK",2.20,4.00,6.60,1.40
11/13/2024 0:00:00,"XLK",2.50,4.00,6.60,1.40
11/14/2024 0:00:00,"XLK",2.00,4.00,6.60,1.40
11/15/2024 0:00:00,"XLK",4.00,4.00,6.60,1.40
11/18/2024 0:00:00,"XLK",2.70,4.00,6.60,1.40
11/19/2024 0:00:00,"XLK",3.50,4.00,6.60,1.40
11/20/2024 0:00:00,"XLK",3.60,4.00,6.60,1.40
11/21/2024 0:00:00,"XLK",4.80,4.00,6.60,1.40
11/22/2024 0:00:00,"XLK",1.90,4.00,6.60,1.40
11/25/2024 0:00:00,"XLK",3.20,4.00,6.60,1.40
11/26/2024 0:00:00,"XLK",1.70,4.00,6.60,1.40
11/27/2024 0:00:00,"XLK",3.80,4.00,6.60,1.40
11/29/2024 0:00:00,"XLK",2.30,4.00,6.60,1.40
12/2/2024 0:00:00,"XLK",3.00,4.00,6.60,1.40
12/3/2024 0:00:00,"XLK",2.40,4.00,6.60,1.40
12/4/2024 0:00:00,"XLK",2.20,4.00,6.60,1.40
12/5/2024 0:00:00,"XLK",1.40,4.00,6.60,1.40
12/6/2024 0:00:00,"XLK",1.80,4.00,6.60,1.40
12/9/2024 0:00:00,"XLK",2.10,4.00,6.60,1.40
12/10/2024 0:00:00,"XLK",3.90,4.00,6.60,1.40
12/11/2024 0:00:00,"XLK",3.10,4.00,6.60,1.40
12/12/2024 0:00:00,"XLK",1.60,4.00,6.60,1.40
12/13/2024 0:00:00,"XLK",4.00,4.00,6.60,1.40
12/16/2024 0:00:00,"XLK",2.80,4.00,6.60,1.40
12/17/2024 0:00:00,"XLK",2.10,4.00,6.60,1.40
12/18/2024 0:00:00,"XLK",9.80,4.00,6.60,1.40
12/19/2024 0:00:00,"XLK",3.20,4.00,6.60,1.40
12/20/2024 0:00:00,"XLK",7.70,4.00,6.60,1.40
12/23/2024 0:00:00,"XLK",3.20,4.00,6.60,1.40
12/24/2024 0:00:00,"XLK",2.00,4.00,6.60,1.40
12/26/2024 0:00:00,"XLK",2.60,4.00,6.60,1.40
12/27/2024 0:00:00,"XLK",4.20,4.00,6.60,1.40
12/30/2024 0:00:00,"XLK",3.80,4.00,6.60,1.40
12/31/2024 0:00:00,"XLK",3.50,4.00,6.60,1.40
1/2/2025 0:00:00,"XLK",5.20,4.00,6.60,1.40
1/3/2025 0:00:00,"XLK",3.10,4.00,6.60,1.40
1/6/2025 0:00:00,"XLK",3.20,4.00,6.60,1.40
1/7/2025 0:00:00,"XLK",6.90,4.00,6.60,1.40
1/8/2025 0:00:00,"XLK",2.90,4.00,6.60,1.40
1/10/2025 0:00:00,"XLK",4.00,4.00,6.60,1.40
1/13/2025 0:00:00,"XLK",2.90,4.00,6.60,1.40
1/14/2025 0:00:00,"XLK",3.60,4.00,6.60,1.40
1/15/2025 0:00:00,"XLK",2.90,4.00,6.60,1.40
1/16/2025 0:00:00,"XLK",3.90,4.00,6.60,1.40
1/17/2025 0:00:00,"XLK",1.90,4.00,6.60,1.40
1/21/2025 0:00:00,"XLK",3.40,4.00,6.60,1.40
1/22/2025 0:00:00,"XLK",3.00,4.00,6.60,1.40
1/23/2025 0:00:00,"XLK",2.60,4.00,6.60,1.40
1/24/2025 0:00:00,"XLK",4.00,4.00,6.60,1.40
1/27/2025 0:00:00,"XLK",5.50,4.00,6.60,1.40
1/28/2025 0:00:00,"XLK",7.50,4.00,6.60,1.40
1/29/2025 0:00:00,"XLK",3.80,4.00,6.60,1.40
1/30/2025 0:00:00,"XLK",3.20,4.00,6.60,1.40
1/31/2025 0:00:00,"XLK",5.50,4.00,6.60,1.40
2/3/2025 0:00:00,"XLK",4.60,4.00,6.60,1.40
2/4/2025 0:00:00,"XLK",2.90,4.00,6.60,1.40
2/5/2025 0:00:00,"XLK",3.80,4.00,6.60,1.40
2/6/2025 0:00:00,"XLK",2.20,4.00,6.60,1.40
2/7/2025 0:00:00,"XLK",4.90,4.00,6.60,1.40
2/10/2025 0:00:00,"XLK",2.20,4.00,6.60,1.40
2/11/2025 0:00:00,"XLK",2.50,4.00,6.60,1.40
2/12/2025 0:00:00,"XLK",3.40,4.00,6.60,1.40
2/13/2025 0:00:00,"XLK",3.40,4.00,6.60,1.40
2/14/2025 0:00:00,"XLK",1.60,4.00,6.60,1.40
