"Date","Ticker","daily_volume","daily_volume_avg","daily_volume_hi","daily_volume_lo"
8/1/2024 0:00:00,"XLK",8.50,5.40,7.80,2.90
8/2/2024 0:00:00,"XLK",9.30,5.40,7.80,2.90
8/5/2024 0:00:00,"XLK",15.70,5.40,7.80,2.90
8/6/2024 0:00:00,"XLK",12.30,5.40,7.80,2.90
8/7/2024 0:00:00,"XLK",8.80,5.40,7.80,2.90
8/8/2024 0:00:00,"XLK",7.20,5.40,7.80,2.90
8/9/2024 0:00:00,"XLK",4.80,5.40,7.80,2.90
8/12/2024 0:00:00,"XLK",4.30,5.40,7.80,2.90
8/13/2024 0:00:00,"XLK",5.00,5.40,7.80,2.90
8/14/2024 0:00:00,"XLK",4.50,5.40,7.80,2.90
8/15/2024 0:00:00,"XLK",4.80,5.40,7.80,2.90
8/16/2024 0:00:00,"XLK",3.40,5.40,7.80,2.90
8/19/2024 0:00:00,"XLK",6.50,5.40,7.80,2.90
8/20/2024 0:00:00,"XLK",3.60,5.40,7.80,2.90
8/21/2024 0:00:00,"XLK",3.80,5.40,7.80,2.90
8/22/2024 0:00:00,"XLK",4.50,5.40,7.80,2.90
8/23/2024 0:00:00,"XLK",5.30,5.40,7.80,2.90
8/26/2024 0:00:00,"XLK",3.10,5.40,7.80,2.90
8/27/2024 0:00:00,"XLK",3.80,5.40,7.80,2.90
8/28/2024 0:00:00,"XLK",4.50,5.40,7.80,2.90
8/29/2024 0:00:00,"XLK",6.70,5.40,7.80,2.90
8/30/2024 0:00:00,"XLK",5.00,5.40,7.80,2.90
9/3/2024 0:00:00,"XLK",7.40,5.40,7.80,2.90
9/4/2024 0:00:00,"XLK",6.20,5.40,7.80,2.90
9/5/2024 0:00:00,"XLK",4.40,5.40,7.80,2.90
9/6/2024 0:00:00,"XLK",6.20,5.40,7.80,2.90
9/9/2024 0:00:00,"XLK",5.50,5.40,7.80,2.90
9/10/2024 0:00:00,"XLK",5.10,5.40,7.80,2.90
9/11/2024 0:00:00,"XLK",6.40,5.40,7.80,2.90
9/12/2024 0:00:00,"XLK",5.30,5.40,7.80,2.90
9/13/2024 0:00:00,"XLK",4.00,5.40,7.80,2.90
9/16/2024 0:00:00,"XLK",3.40,5.40,7.80,2.90
9/17/2024 0:00:00,"XLK",3.50,5.40,7.80,2.90
9/18/2024 0:00:00,"XLK",6.40,5.40,7.80,2.90
9/19/2024 0:00:00,"XLK",7.00,5.40,7.80,2.90
9/20/2024 0:00:00,"XLK",7.20,5.40,7.80,2.90
11/6/2024 0:00:00,"XLK",5.50,5.40,7.80,2.90
11/7/2024 0:00:00,"XLK",5.20,5.40,7.80,2.90
11/8/2024 0:00:00,"XLK",3.60,5.40,7.80,2.90
11/11/2024 0:00:00,"XLK",3.60,5.40,7.80,2.90
9/23/2024 0:00:00,"XLK",3.70,5.40,7.80,2.90
9/24/2024 0:00:00,"XLK",3.50,5.40,7.80,2.90
9/25/2024 0:00:00,"XLK",3.10,5.40,7.80,2.90
9/26/2024 0:00:00,"XLK",4.60,5.40,7.80,2.90
9/27/2024 0:00:00,"XLK",3.00,5.40,7.80,2.90
9/30/2024 0:00:00,"XLK",2.80,5.40,7.80,2.90
10/1/2024 0:00:00,"XLK",5.60,5.40,7.80,2.90
10/2/2024 0:00:00,"XLK",2.30,5.40,7.80,2.90
10/3/2024 0:00:00,"XLK",2.90,5.40,7.80,2.90
10/4/2024 0:00:00,"XLK",2.50,5.40,7.80,2.90
10/7/2024 0:00:00,"XLK",2.20,5.40,7.80,2.90
10/8/2024 0:00:00,"XLK",3.90,5.40,7.80,2.90
10/9/2024 0:00:00,"XLK",3.80,5.40,7.80,2.90
10/10/2024 0:00:00,"XLK",2.80,5.40,7.80,2.90
10/11/2024 0:00:00,"XLK",4.40,5.40,7.80,2.90
10/14/2024 0:00:00,"XLK",4.90,5.40,7.80,2.90
10/15/2024 0:00:00,"XLK",7.10,5.40,7.80,2.90
10/16/2024 0:00:00,"XLK",2.90,5.40,7.80,2.90
10/17/2024 0:00:00,"XLK",3.00,5.40,7.80,2.90
10/18/2024 0:00:00,"XLK",2.30,5.40,7.80,2.90
10/21/2024 0:00:00,"XLK",3.20,5.40,7.80,2.90
10/22/2024 0:00:00,"XLK",3.10,5.40,7.80,2.90
10/23/2024 0:00:00,"XLK",3.00,5.40,7.80,2.90
10/24/2024 0:00:00,"XLK",2.40,5.40,7.80,2.90
10/25/2024 0:00:00,"XLK",4.20,5.40,7.80,2.90
10/28/2024 0:00:00,"XLK",2.90,5.40,7.80,2.90
10/29/2024 0:00:00,"XLK",3.70,5.40,7.80,2.90
10/30/2024 0:00:00,"XLK",4.20,5.40,7.80,2.90
10/31/2024 0:00:00,"XLK",6.10,5.40,7.80,2.90
11/1/2024 0:00:00,"XLK",5.80,5.40,7.80,2.90
11/4/2024 0:00:00,"XLK",3.20,5.40,7.80,2.90
