Date,Ticker,weekly_range,weekly_range_avg,weekly_range_hi,weekly_range_lo
2024-07-29,A,8.6,7.7,10.4,5.1
2024-08-05,A,5.9,7.7,10.4,5.1
2024-08-12,A,6.4,7.7,10.4,5.1
2024-08-19,A,7.3,7.7,10.4,5.1
2024-08-26,A,3.7,7.7,10.4,5.1
2024-09-03,A,6.8,7.7,10.4,5.1
2024-09-09,A,5.3,7.7,10.4,5.1
2024-09-16,A,6.1,7.7,10.4,5.1
2024-09-23,A,11.5,7.7,10.4,5.1
2024-09-30,A,4.8,7.7,10.4,5.1
2024-10-07,A,3.0,7.7,10.4,5.1
2024-10-14,A,10.2,7.7,10.4,5.1
2024-10-21,A,9.5,7.7,10.4,5.1
2024-10-28,A,11.1,7.7,10.4,5.1
2024-11-04,A,8.1,7.7,10.4,5.1
2024-11-11,A,11.6,7.7,10.4,5.1
2024-11-18,A,9.4,7.7,10.4,5.1
2024-11-25,A,12.9,7.7,10.4,5.1
2024-12-02,A,5.7,7.7,10.4,5.1
2024-12-09,A,7.6,7.7,10.4,5.1
2024-12-16,A,8.3,7.7,10.4,5.1
2024-12-23,A,3.1,7.7,10.4,5.1
2024-12-30,A,3.3,7.7,10.4,5.1
2025-01-06,A,5.6,7.7,10.4,5.1
2025-01-13,A,11.5,7.7,10.4,5.1
2025-01-21,A,5.8,7.7,10.4,5.1
2025-01-27,A,7.3,7.7,10.4,5.1
2025-02-03,A,5.9,7.7,10.4,5.1
2025-02-10,A,11.5,7.7,10.4,5.1
2025-02-18,A,4.6,7.7,10.4,5.1
2025-02-24,A,11.1,7.7,10.4,5.1
2025-03-03,A,8.1,7.7,10.4,5.1
2025-03-10,A,9.5,7.7,10.4,5.1
2025-03-17,A,5.6,7.7,10.4,5.1
2025-03-24,A,8.1,7.7,10.4,5.1
2025-03-31,A,14.9,7.7,10.4,5.1
2025-04-07,A,10.9,7.7,10.4,5.1
2025-04-14,A,4.9,7.7,10.4,5.1
2025-04-21,A,10.5,7.7,10.4,5.1
2025-04-28,A,6.2,7.7,10.4,5.1
2025-05-05,A,6.3,7.7,10.4,5.1
2025-05-12,A,8.0,7.7,10.4,5.1
2025-05-19,A,7.1,7.7,10.4,5.1
2025-05-27,A,7.0,7.7,10.4,5.1
2025-06-02,A,6.3,7.7,10.4,5.1
2025-06-09,A,7.1,7.7,10.4,5.1
2025-06-16,A,4.7,7.7,10.4,5.1
2025-06-23,A,6.8,7.7,10.4,5.1
2025-06-30,A,6.3,7.7,10.4,5.1
2025-07-07,A,8.3,7.7,10.4,5.1
2025-07-14,A,10.0,7.7,10.4,5.1
2025-07-21,A,12.0,7.7,10.4,5.1
2025-07-28,A,9.6,7.7,10.4,5.1
2025-08-04,A,3.4,7.7,10.4,5.1
2025-08-11,A,6.7,7.7,10.4,5.1
2025-08-18,A,5.4,7.7,10.4,5.1
2025-08-25,A,8.8,7.7,10.4,5.1
2025-09-02,A,9.2,7.7,10.4,5.1
2024-07-29,AAPL,9.9,12.2,19.4,5.0
2024-08-05,AAPL,20.8,12.2,19.4,5.0
2024-08-12,AAPL,11.2,12.2,19.4,5.0
2024-08-19,AAPL,5.3,12.2,19.4,5.0
2024-08-26,AAPL,9.0,12.2,19.4,5.0
2024-09-03,AAPL,11.5,12.2,19.4,5.0
2024-09-09,AAPL,7.3,12.2,19.4,5.0
2024-09-16,AAPL,19.2,12.2,19.4,5.0
2024-09-23,AAPL,5.5,12.2,19.4,5.0
2024-09-30,AAPL,10.0,12.2,19.4,5.0
2024-10-07,AAPL,8.4,12.2,19.4,5.0
2024-10-14,AAPL,8.9,12.2,19.4,5.0
2024-10-21,AAPL,9.1,12.2,19.4,5.0
2024-10-28,AAPL,14.5,12.2,19.4,5.0
2024-11-04,AAPL,9.0,12.2,19.4,5.0
2024-11-11,AAPL,7.4,12.2,19.4,5.0
2024-11-18,AAPL,5.6,12.2,19.4,5.0
2024-11-25,AAPL,8.1,12.2,19.4,5.0
2024-12-02,AAPL,7.5,12.2,19.4,5.0
2024-12-09,AAPL,9.1,12.2,19.4,5.0
2024-12-16,AAPL,9.3,12.2,19.4,5.0
2024-12-23,AAPL,7.0,12.2,19.4,5.0
2024-12-30,AAPL,11.7,12.2,19.4,5.0
2025-01-06,AAPL,14.3,12.2,19.4,5.0
2025-01-13,AAPL,10.9,12.2,19.4,5.0
2025-01-21,AAPL,7.7,12.2,19.4,5.0
2025-01-27,AAPL,23.2,12.2,19.4,5.0
2025-02-03,AAPL,8.3,12.2,19.4,5.0
2025-02-10,AAPL,18.4,12.2,19.4,5.0
2025-02-18,AAPL,6.9,12.2,19.4,5.0
2025-02-24,AAPL,19.8,12.2,19.4,5.0
2025-03-03,AAPL,14.8,12.2,19.4,5.0
2025-03-10,AAPL,27.7,12.2,19.4,5.0
2025-03-17,AAPL,8.9,12.2,19.4,5.0
2025-03-24,AAPL,7.3,12.2,19.4,5.0
2025-03-31,AAPL,38.3,12.2,19.4,5.0
2025-04-07,AAPL,31.4,12.2,19.4,5.0
2025-04-14,AAPL,20.6,12.2,19.4,5.0
2025-04-21,AAPL,19.9,12.2,19.4,5.0
2025-04-28,AAPL,12.4,12.2,19.4,5.0
2025-05-05,AAPL,10.9,12.2,19.4,5.0
2025-05-12,AAPL,7.2,12.2,19.4,5.0
2025-05-19,AAPL,16.0,12.2,19.4,5.0
2025-05-27,AAPL,7.0,12.2,19.4,5.0
2025-06-02,AAPL,6.1,12.2,19.4,5.0
2025-06-09,AAPL,10.3,12.2,19.4,5.0
2025-06-16,AAPL,6.6,12.2,19.4,5.0
2025-06-23,AAPL,4.7,12.2,19.4,5.0
2025-06-30,AAPL,15.4,12.2,19.4,5.0
2025-07-07,AAPL,9.0,12.2,19.4,5.0
2025-07-14,AAPL,4.9,12.2,19.4,5.0
2025-07-21,AAPL,4.2,12.2,19.4,5.0
2025-07-28,AAPL,13.4,12.2,19.4,5.0
2025-08-04,AAPL,29.3,12.2,19.4,5.0
2025-08-11,AAPL,10.4,12.2,19.4,5.0
2025-08-18,AAPL,9.3,12.2,19.4,5.0
2025-08-25,AAPL,8.7,12.2,19.4,5.0
2025-09-02,AAPL,14.4,12.2,19.4,5.0
2024-07-29,ABBV,13.4,9.7,14.6,4.7
2024-08-05,ABBV,8.0,9.7,14.6,4.7
2024-08-12,ABBV,7.3,9.7,14.6,4.7
2024-08-19,ABBV,4.6,9.7,14.6,4.7
