Date,Ticker,weekly_volume,weekly_volume_avg,weekly_volume_hi,weekly_volume_lo
2024-07-29,A,10.4,8.8,11.7,5.9
2024-08-05,A,6.6,8.8,11.7,5.9
2024-08-12,A,6.0,8.8,11.7,5.9
2024-08-19,A,9.6,8.8,11.7,5.9
2024-08-26,A,6.2,8.8,11.7,5.9
2024-09-03,A,5.5,8.8,11.7,5.9
2024-09-09,A,7.1,8.8,11.7,5.9
2024-09-16,A,7.3,8.8,11.7,5.9
2024-09-23,A,9.9,8.8,11.7,5.9
2024-09-30,A,6.1,8.8,11.7,5.9
2024-10-07,A,5.1,8.8,11.7,5.9
2024-10-14,A,7.5,8.8,11.7,5.9
2024-10-21,A,7.5,8.8,11.7,5.9
2024-10-28,A,7.9,8.8,11.7,5.9
2024-11-04,A,9.7,8.8,11.7,5.9
2024-11-11,A,12.6,8.8,11.7,5.9
2024-11-18,A,9.9,8.8,11.7,5.9
2024-11-25,A,10.3,8.8,11.7,5.9
2024-12-02,A,8.7,8.8,11.7,5.9
2024-12-09,A,7.1,8.8,11.7,5.9
2024-12-16,A,12.3,8.8,11.7,5.9
2024-12-23,A,2.8,8.8,11.7,5.9
2024-12-30,A,3.9,8.8,11.7,5.9
2025-01-06,A,5.2,8.8,11.7,5.9
2025-01-13,A,11.2,8.8,11.7,5.9
2025-01-21,A,7.7,8.8,11.7,5.9
2025-01-27,A,9.0,8.8,11.7,5.9
2025-02-03,A,7.0,8.8,11.7,5.9
2025-02-10,A,7.8,8.8,11.7,5.9
2025-02-18,A,5.8,8.8,11.7,5.9
2025-02-24,A,12.5,8.8,11.7,5.9
2025-03-03,A,11.1,8.8,11.7,5.9
2025-03-10,A,12.3,8.8,11.7,5.9
2025-03-17,A,9.8,8.8,11.7,5.9
2025-03-24,A,9.7,8.8,11.7,5.9
2025-03-31,A,13.9,8.8,11.7,5.9
2025-04-07,A,20.1,8.8,11.7,5.9
2025-04-14,A,6.5,8.8,11.7,5.9
2025-04-21,A,10.0,8.8,11.7,5.9
2025-04-28,A,7.1,8.8,11.7,5.9
2025-05-05,A,9.0,8.8,11.7,5.9
2025-05-12,A,12.0,8.8,11.7,5.9
2025-05-19,A,11.3,8.8,11.7,5.9
2025-05-27,A,13.4,8.8,11.7,5.9
2025-06-02,A,9.4,8.8,11.7,5.9
2025-06-09,A,11.4,8.8,11.7,5.9
2025-06-16,A,7.6,8.8,11.7,5.9
2025-06-23,A,8.3,8.8,11.7,5.9
2025-06-30,A,6.0,8.8,11.7,5.9
2025-07-07,A,8.8,8.8,11.7,5.9
2025-07-14,A,11.3,8.8,11.7,5.9
2025-07-21,A,9.3,8.8,11.7,5.9
2025-07-28,A,8.1,8.8,11.7,5.9
2025-08-04,A,6.0,8.8,11.7,5.9
2025-08-11,A,5.1,8.8,11.7,5.9
2025-08-18,A,5.8,8.8,11.7,5.9
2025-08-25,A,10.7,8.8,11.7,5.9
2025-09-02,A,7.6,8.8,11.7,5.9
2024-07-29,AAPL,296.1,257.3,348.6,166.0
2024-08-05,AAPL,342.1,257.3,348.6,166.0
2024-08-12,AAPL,214.9,257.3,348.6,166.0
2024-08-19,AAPL,188.1,257.3,348.6,166.0
2024-08-26,AAPL,209.5,257.3,348.6,166.0
2024-09-03,AAPL,179.1,257.3,348.6,166.0
2024-09-09,AAPL,237.6,257.3,348.6,166.0
2024-09-16,AAPL,550.2,257.3,348.6,166.0
2024-09-23,AAPL,210.7,257.3,348.6,166.0
2024-09-30,AAPL,222.0,257.3,348.6,166.0
2024-10-07,AAPL,164.9,257.3,348.6,166.0
2024-10-14,AAPL,218.1,257.3,348.6,166.0
