Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2024-08-01,A,12.4,16.5,20.0,12.9
2024-09-01,A,15.8,16.5,20.0,12.9
2024-10-01,A,18.8,16.5,20.0,12.9
2024-11-01,A,18.2,16.5,20.0,12.9
2024-12-01,A,13.3,16.5,20.0,12.9
2025-01-01,A,21.1,16.5,20.0,12.9
2025-02-01,A,24.5,16.5,20.0,12.9
2025-03-01,A,15.7,16.5,20.0,12.9
2025-04-01,A,20.0,16.5,20.0,12.9
2025-05-01,A,12.9,16.5,20.0,12.9
2025-06-01,A,13.1,16.5,20.0,12.9
2025-07-01,A,15.7,16.5,20.0,12.9
2025-08-01,A,15.1,16.5,20.0,12.9
2025-09-01,A,9.2,16.5,20.0,12.9
2024-08-01,AAPL,36.9,25.7,37.7,13.6
2024-09-01,AAPL,19.2,25.7,37.7,13.6
2024-10-01,AAPL,16.2,25.7,37.7,13.6
2024-11-01,AAPL,18.1,25.7,37.7,13.6
2024-12-01,AAPL,22.9,25.7,37.7,13.6
2025-01-01,AAPL,29.7,25.7,37.7,13.6
2025-02-01,AAPL,24.3,25.7,37.7,13.6
2025-03-01,AAPL,35.6,25.7,37.7,13.6
2025-04-01,AAPL,56.0,25.7,37.7,13.6
2025-05-01,AAPL,21.3,25.7,37.7,13.6
2025-06-01,AAPL,12.3,25.7,37.7,13.6
2025-07-01,AAPL,10.1,25.7,37.7,13.6
2025-08-01,AAPL,33.6,25.7,37.7,13.6
2025-09-01,AAPL,14.4,25.7,37.7,13.6
2024-08-01,ABBV,15.3,22.3,33.2,11.4
2024-09-01,ABBV,10.3,22.3,33.2,11.4
2024-10-01,ABBV,21.4,22.3,33.2,11.4
2024-11-01,ABBV,42.3,22.3,33.2,11.4
2024-12-01,ABBV,13.3,22.3,33.2,11.4
2025-01-01,ABBV,23.7,22.3,33.2,11.4
2025-02-01,ABBV,27.5,22.3,33.2,11.4
2025-03-01,ABBV,22.2,22.3,33.2,11.4
2025-04-01,ABBV,47.8,22.3,33.2,11.4
2025-05-01,ABBV,22.4,22.3,33.2,11.4
2025-06-01,ABBV,11.9,22.3,33.2,11.4
2025-07-01,ABBV,14.4,22.3,33.2,11.4
2025-08-01,ABBV,22.7,22.3,33.2,11.4
2025-09-01,ABBV,5.4,22.3,33.2,11.4
2024-08-01,ABNB,29.4,19.9,27.5,12.4
2024-09-01,ABNB,20.8,19.9,27.5,12.4
2024-10-01,ABNB,15.1,19.9,27.5,12.4
2024-11-01,ABNB,18.8,19.9,27.5,12.4
2024-12-01,ABNB,13.2,19.9,27.5,12.4
2025-01-01,ABNB,12.5,19.9,27.5,12.4
2025-02-01,ABNB,36.4,19.9,27.5,12.4
2025-03-01,ABNB,29.1,19.9,27.5,12.4
2025-04-01,ABNB,26.1,19.9,27.5,12.4
2025-05-01,ABNB,19.7,19.9,27.5,12.4
2025-06-01,ABNB,16.8,19.9,27.5,12.4
2025-07-01,ABNB,11.2,19.9,27.5,12.4
2025-08-01,ABNB,14.9,19.9,27.5,12.4
2025-09-01,ABNB,6.4,19.9,27.5,12.4
2024-08-01,ABT,7.2,10.8,15.1,6.4
2024-09-01,ABT,6.7,10.8,15.1,6.4
2024-10-01,ABT,8.2,10.8,15.1,6.4
2024-11-01,ABT,6.6,10.8,15.1,6.4
2024-12-01,ABT,7.5,10.8,15.1,6.4
2025-01-01,ABT,19.0,10.8,15.1,6.4
2025-02-01,ABT,12.4,10.8,15.1,6.4
2025-03-01,ABT,16.7,10.8,15.1,6.4
2025-04-01,ABT,13.7,10.8,15.1,6.4
2025-05-01,ABT,8.8,10.8,15.1,6.4
2025-06-01,ABT,8.2,10.8,15.1,6.4
2025-07-01,ABT,17.3,10.8,15.1,6.4
2025-08-01,ABT,9.2,10.8,15.1,6.4
2025-09-01,ABT,4.1,10.8,15.1,6.4
2024-08-01,ACGL,19.6,10.2,14.7,5.7
2024-09-01,ACGL,5.9,10.2,14.7,5.7
2024-10-01,ACGL,18.2,10.2,14.7,5.7
2024-11-01,ACGL,9.2,10.2,14.7,5.7
2024-12-01,ACGL,12.4,10.2,14.7,5.7
2025-01-01,ACGL,7.4,10.2,14.7,5.7
2025-02-01,ACGL,6.9,10.2,14.7,5.7
2025-03-01,ACGL,9.1,10.2,14.7,5.7
2025-04-01,ACGL,14.4,10.2,14.7,5.7
2025-05-01,ACGL,6.7,10.2,14.7,5.7
2025-06-01,ACGL,7.8,10.2,14.7,5.7
2025-07-01,ACGL,7.2,10.2,14.7,5.7
2025-08-01,ACGL,8.2,10.2,14.7,5.7
2025-09-01,ACGL,2.8,10.2,14.7,5.7
2024-08-01,ACN,33.6,38.5,49.2,27.8
2024-09-01,ACN,32.1,38.5,49.2,27.8
2024-10-01,ACN,34.7,38.5,49.2,27.8
2024-11-01,ACN,30.4,38.5,49.2,27.8
2024-12-01,ACN,30.3,38.5,49.2,27.8
2025-01-01,ACN,42.6,38.5,49.2,27.8
2025-02-01,ACN,55.9,38.5,49.2,27.8
2025-03-01,ACN,60.5,38.5,49.2,27.8
2025-04-01,ACN,43.0,38.5,49.2,27.8
2025-05-01,ACN,27.2,38.5,49.2,27.8
2025-06-01,ACN,48.6,38.5,49.2,27.8
2025-07-01,ACN,41.6,38.5,49.2,27.8
2025-08-01,ACN,28.4,38.5,49.2,27.8
2025-09-01,ACN,12.5,38.5,49.2,27.8
2024-08-01,ADBE,78.4,59.1,84.3,34.0
2024-09-01,ADBE,81.3,59.1,84.3,34.0
2024-10-01,ADBE,41.6,59.1,84.3,34.0
2024-11-01,ADBE,64.9,59.1,84.3,34.0
2024-12-01,ADBE,125.4,59.1,84.3,34.0
2025-01-01,ADBE,46.4,59.1,84.3,34.0
2025-02-01,ADBE,34.8,59.1,84.3,34.0
2025-03-01,ADBE,78.8,59.1,84.3,34.0
2025-04-01,ADBE,56.0,59.1,84.3,34.0
2025-05-01,ADBE,48.9,59.1,84.3,34.0
2025-06-01,ADBE,47.7,59.1,84.3,34.0
2025-07-01,ADBE,38.3,59.1,84.3,34.0
2025-08-01,ADBE,34.6,59.1,84.3,34.0
2025-09-01,ADBE,23.2,59.1,84.3,34.0
2024-08-01,ADI,38.1,30.3,40.0,20.5
2024-09-01,ADI,23.1,30.3,40.0,20.5
2024-10-01,ADI,16.2,30.3,40.0,20.5
2024-11-01,ADI,28.2,30.3,40.0,20.5
2024-12-01,ADI,19.0,30.3,40.0,20.5
2025-01-01,ADI,20.5,30.3,40.0,20.5
2025-02-01,ADI,46.3,30.3,40.0,20.5
2025-03-01,ADI,37.0,30.3,40.0,20.5
