Date,Ticker,monthly_volume,monthly_volume_avg,monthly_volume_hi,monthly_volume_lo
2024-08-01,A,33.6,37.6,45.7,29.6
2024-09-01,A,31.2,37.6,45.7,29.6
2024-10-01,A,30.7,37.6,45.7,29.6
2024-11-01,A,44.6,37.6,45.7,29.6
2024-12-01,A,32.5,37.6,45.7,29.6
2025-01-01,A,35.2,37.6,45.7,29.6
2025-02-01,A,33.1,37.6,45.7,29.6
2025-03-01,A,44.9,37.6,45.7,29.6
2025-04-01,A,52.8,37.6,45.7,29.6
2025-05-01,A,48.3,37.6,45.7,29.6
2025-06-01,A,38.3,37.6,45.7,29.6
2025-07-01,A,40.0,37.6,45.7,29.6
2025-08-01,A,31.3,37.6,45.7,29.6
2025-09-01,A,9.3,37.6,45.7,29.6
2024-08-01,AAPL,1122.7,1105.1,1327.0,883.3
2024-09-01,AAPL,1232.1,1105.1,1327.0,883.3
2024-10-01,AAPL,930.7,1105.1,1327.0,883.3
2024-11-01,AAPL,891.6,1105.1,1327.0,883.3
2024-12-01,AAPL,977.9,1105.1,1327.0,883.3
2025-01-01,AAPL,1200.2,1105.1,1327.0,883.3
2025-02-01,AAPL,862.3,1105.1,1327.0,883.3
2025-03-01,AAPL,1115.2,1105.1,1327.0,883.3
2025-04-01,AAPL,1607.3,1105.1,1327.0,883.3
2025-05-01,AAPL,1195.7,1105.1,1327.0,883.3
2025-06-01,AAPL,1100.4,1105.1,1327.0,883.3
2025-07-01,AAPL,1079.9,1105.1,1327.0,883.3
2025-08-01,AAPL,1257.3,1105.1,1327.0,883.3
2025-09-01,AAPL,212.9,1105.1,1327.0,883.3
2024-08-01,ABBV,99.3,126.9,159.1,94.7
2024-09-01,ABBV,95.3,126.9,159.1,94.7
2024-10-01,ABBV,115.8,126.9,159.1,94.7
2024-11-01,ABBV,155.2,126.9,159.1,94.7
2024-12-01,ABBV,121.1,126.9,159.1,94.7
2025-01-01,ABBV,124.4,126.9,159.1,94.7
2025-02-01,ABBV,111.9,126.9,159.1,94.7
2025-03-01,ABBV,148.3,126.9,159.1,94.7
2025-04-01,ABBV,204.4,126.9,159.1,94.7
2025-05-01,ABBV,151.5,126.9,159.1,94.7
2025-06-01,ABBV,125.4,126.9,159.1,94.7
2025-07-01,ABBV,123.1,126.9,159.1,94.7
2025-08-01,ABBV,100.7,126.9,159.1,94.7
