Date,Ticker,MT_Trend,mt_avg,mt_hi,mt_lo
2024-07-29,A,-0.0103,-0.0183,0.0138,-0.0504
2024-08-05,A,-0.029,-0.0183,0.0138,-0.0504
2024-08-12,A,-0.038,-0.0183,0.0138,-0.0504
2024-08-19,A,-0.0329,-0.0183,0.0138,-0.0504
2024-08-26,A,0.0131,-0.0183,0.0138,-0.0504
2024-09-03,A,0.0174,-0.0183,0.0138,-0.0504
2024-09-09,A,0.0062,-0.0183,0.0138,-0.0504
2024-09-16,A,0.0077,-0.0183,0.0138,-0.0504
2024-09-23,A,0.0183,-0.0183,0.0138,-0.0504
2024-09-30,A,0.0248,-0.0183,0.0138,-0.0504
2024-10-07,A,0.0317,-0.0183,0.0138,-0.0504
2024-10-14,A,0.0127,-0.0183,0.0138,-0.0504
2024-10-21,A,-0.0113,-0.0183,0.0138,-0.0504
2024-10-28,A,-0.022,-0.0183,0.0138,-0.0504
2024-11-04,A,-0.0176,-0.0183,0.0138,-0.0504
2024-11-11,A,-0.025,-0.0183,0.0138,-0.0504
2024-11-18,A,-0.038,-0.0183,0.0138,-0.0504
2024-11-25,A,-0.0273,-0.0183,0.0138,-0.0504
2024-12-02,A,-0.0276,-0.0183,0.0138,-0.0504
2024-12-09,A,-0.0192,-0.0183,0.0138,-0.0504
2024-12-16,A,-0.027,-0.0183,0.0138,-0.0504
2024-12-23,A,-0.0422,-0.0183,0.0138,-0.0504
2024-12-30,A,-0.0464,-0.0183,0.0138,-0.0504
2025-01-06,A,-0.0404,-0.0183,0.0138,-0.0504
2025-01-13,A,-0.0136,-0.0183,0.0138,-0.0504
2025-01-21,A,0.0133,-0.0183,0.0138,-0.0504
2025-01-27,A,0.0201,-0.0183,0.0138,-0.0504
2025-02-03,A,0.0136,-0.0183,0.0138,-0.0504
2025-02-10,A,0.007,-0.0183,0.0138,-0.0504
2025-02-18,A,0.0093,-0.0183,0.0138,-0.0504
2025-02-24,A,-0.0051,-0.0183,0.0138,-0.0504
2025-03-03,A,-0.0148,-0.0183,0.0138,-0.0504
2025-03-10,A,-0.0266,-0.0183,0.0138,-0.0504
2025-03-17,A,-0.0241,-0.0183,0.0138,-0.0504
2025-03-24,A,-0.0224,-0.0183,0.0138,-0.0504
2025-03-31,A,-0.0489,-0.0183,0.0138,-0.0504
2025-04-07,A,-0.0701,-0.0183,0.0138,-0.0504
2025-04-14,A,-0.0913,-0.0183,0.0138,-0.0504
2025-04-21,A,-0.0971,-0.0183,0.0138,-0.0504
2025-04-28,A,-0.0968,-0.0183,0.0138,-0.0504
2025-05-05,A,-0.0928,-0.0183,0.0138,-0.0504
2025-05-12,A,-0.0674,-0.0183,0.0138,-0.0504
2025-05-19,A,-0.0611,-0.0183,0.0138,-0.0504
2025-05-27,A,-0.0489,-0.0183,0.0138,-0.0504
2025-06-02,A,-0.0386,-0.0183,0.0138,-0.0504
2025-06-09,A,-0.0215,-0.0183,0.0138,-0.0504
2025-06-16,A,-0.0179,-0.0183,0.0138,-0.0504
2025-06-23,A,-0.018,-0.0183,0.0138,-0.0504
2025-06-30,A,0.0138,-0.0183,0.0138,-0.0504
2025-07-07,A,0.037,-0.0183,0.0138,-0.0504
2025-07-14,A,0.0115,-0.0183,0.0138,-0.0504
2025-07-21,A,0.001,-0.0183,0.0138,-0.0504
2025-07-28,A,-0.0019,-0.0183,0.0138,-0.0504
2025-08-04,A,0.003,-0.0183,0.0138,-0.0504
2025-08-11,A,-0.006,-0.0183,0.0138,-0.0504
2025-08-18,A,-0.0002,-0.0183,0.0138,-0.0504
2025-08-25,A,0.0038,-0.0183,0.0138,-0.0504
2025-09-02,A,0.0112,-0.0183,0.0138,-0.0504
2024-07-29,AAPL,0.0466,-0.0145,0.0215,-0.0504
2024-08-05,AAPL,0.0286,-0.0145,0.0215,-0.0504
2024-08-12,AAPL,0.03,-0.0145,0.0215,-0.0504
2024-08-19,AAPL,0.0303,-0.0145,0.0215,-0.0504
2024-08-26,AAPL,0.0316,-0.0145,0.0215,-0.0504
2024-09-03,AAPL,0.0246,-0.0145,0.0215,-0.0504
2024-09-09,AAPL,-0.0066,-0.0145,0.0215,-0.0504
2024-09-16,AAPL,-0.012,-0.0145,0.0215,-0.0504
2024-09-23,AAPL,-0.0114,-0.0145,0.0215,-0.0504
2024-09-30,AAPL,-0.0159,-0.0145,0.0215,-0.0504
2024-10-07,AAPL,-0.0271,-0.0145,0.0215,-0.0504
2024-10-14,AAPL,-0.0277,-0.0145,0.0215,-0.0504
2024-10-21,AAPL,-0.0174,-0.0145,0.0215,-0.0504
2024-10-28,AAPL,-0.0215,-0.0145,0.0215,-0.0504
2024-11-04,AAPL,-0.0037,-0.0145,0.0215,-0.0504
2024-11-11,AAPL,-0.008,-0.0145,0.0215,-0.0504
2024-11-18,AAPL,-0.0076,-0.0145,0.0215,-0.0504
2024-11-25,AAPL,-0.0043,-0.0145,0.0215,-0.0504
2024-12-02,AAPL,0.0102,-0.0145,0.0215,-0.0504
2024-12-09,AAPL,0.0178,-0.0145,0.0215,-0.0504
2024-12-16,AAPL,0.0225,-0.0145,0.0215,-0.0504
2024-12-23,AAPL,0.0254,-0.0145,0.0215,-0.0504
2024-12-30,AAPL,0.0169,-0.0145,0.0215,-0.0504
2025-01-06,AAPL,0.005,-0.0145,0.0215,-0.0504
2025-01-13,AAPL,-0.0025,-0.0145,0.0215,-0.0504
2025-01-21,AAPL,-0.0085,-0.0145,0.0215,-0.0504
2025-01-27,AAPL,0.0068,-0.0145,0.0215,-0.0504
2025-02-03,AAPL,0.0101,-0.0145,0.0215,-0.0504
2025-02-10,AAPL,0.0124,-0.0145,0.0215,-0.0504
2025-02-18,AAPL,0.0166,-0.0145,0.0215,-0.0504
2025-02-24,AAPL,0.0103,-0.0145,0.0215,-0.0504
2025-03-03,AAPL,-0.0016,-0.0145,0.0215,-0.0504
2025-03-10,AAPL,-0.0266,-0.0145,0.0215,-0.0504
2025-03-17,AAPL,-0.0328,-0.0145,0.0215,-0.0504
2025-03-24,AAPL,-0.0378,-0.0145,0.0215,-0.0504
2025-03-31,AAPL,-0.0549,-0.0145,0.0215,-0.0504
2025-04-07,AAPL,-0.0761,-0.0145,0.0215,-0.0504
2025-04-14,AAPL,-0.0725,-0.0145,0.0215,-0.0504
2025-04-21,AAPL,-0.0656,-0.0145,0.0215,-0.0504
2025-04-28,AAPL,-0.0731,-0.0145,0.0215,-0.0504
2025-05-05,AAPL,-0.0762,-0.0145,0.0215,-0.0504
2025-05-12,AAPL,-0.0749,-0.0145,0.0215,-0.0504
2025-05-19,AAPL,-0.0834,-0.0145,0.0215,-0.0504
2025-05-27,AAPL,-0.0878,-0.0145,0.0215,-0.0504
2025-06-02,AAPL,-0.0826,-0.0145,0.0215,-0.0504
2025-06-09,AAPL,-0.0666,-0.0145,0.0215,-0.0504
2025-06-16,AAPL,-0.0674,-0.0145,0.0215,-0.0504
2025-06-23,AAPL,-0.0667,-0.0145,0.0215,-0.0504
2025-06-30,AAPL,-0.033,-0.0145,0.0215,-0.0504
2025-07-07,AAPL,0.0072,-0.0145,0.0215,-0.0504
2025-07-14,AAPL,0.0106,-0.0145,0.0215,-0.0504
2025-07-21,AAPL,0.0113,-0.0145,0.0215,-0.0504
2025-07-28,AAPL,0.0045,-0.0145,0.0215,-0.0504
2025-08-04,AAPL,0.0164,-0.0145,0.0215,-0.0504
2025-08-11,AAPL,0.0075,-0.0145,0.0215,-0.0504
2025-08-18,AAPL,0.0145,-0.0145,0.0215,-0.0504
2025-08-25,AAPL,0.016,-0.0145,0.0215,-0.0504
2025-09-02,AAPL,0.018,-0.0145,0.0215,-0.0504
2024-07-29,ABBV,0.0334,0.0031,0.0329,-0.0267
2024-08-05,ABBV,0.0341,0.0031,0.0329,-0.0267
2024-08-12,ABBV,0.0359,0.0031,0.0329,-0.0267
2024-08-19,ABBV,0.0441,0.0031,0.0329,-0.0267
2024-08-26,ABBV,0.0507,0.0031,0.0329,-0.0267
2024-09-03,ABBV,0.0419,0.0031,0.0329,-0.0267
2024-09-09,ABBV,0.0389,0.0031,0.0329,-0.0267
2024-09-16,ABBV,0.0378,0.0031,0.0329,-0.0267
2024-09-23,ABBV,0.0346,0.0031,0.0329,-0.0267
2024-09-30,ABBV,0.0408,0.0031,0.0329,-0.0267
2024-10-07,ABBV,0.0441,0.0031,0.0329,-0.0267
2024-10-14,ABBV,0.0342,0.0031,0.0329,-0.0267
2024-10-21,ABBV,0.0078,0.0031,0.0329,-0.0267
2024-10-28,ABBV,0.0118,0.0031,0.0329,-0.0267
2024-11-04,ABBV,0.0126,0.0031,0.0329,-0.0267
2024-11-11,ABBV,-0.0159,0.0031,0.0329,-0.0267
2024-11-18,ABBV,-0.0367,0.0031,0.0329,-0.0267
2024-11-25,ABBV,-0.0354,0.0031,0.0329,-0.0267
2024-12-02,ABBV,-0.0332,0.0031,0.0329,-0.0267
2024-12-09,ABBV,-0.0365,0.0031,0.0329,-0.0267
2024-12-16,ABBV,-0.0386,0.0031,0.0329,-0.0267
2024-12-23,ABBV,-0.0344,0.0031,0.0329,-0.0267
2024-12-30,ABBV,-0.0343,0.0031,0.0329,-0.0267
2025-01-06,ABBV,-0.0337,0.0031,0.0329,-0.0267
2025-01-13,ABBV,-0.035,0.0031,0.0329,-0.0267
2025-01-21,ABBV,-0.0338,0.0031,0.0329,-0.0267
2025-01-27,ABBV,-0.0308,0.0031,0.0329,-0.0267
2025-02-03,ABBV,-0.0263,0.0031,0.0329,-0.0267
2025-02-10,ABBV,0.0043,0.0031,0.0329,-0.0267
2025-02-18,ABBV,0.0289,0.0031,0.0329,-0.0267
2025-02-24,ABBV,0.0344,0.0031,0.0329,-0.0267
2025-03-03,ABBV,0.0384,0.0031,0.0329,-0.0267
2025-03-10,ABBV,0.0445,0.0031,0.0329,-0.0267
2025-03-17,ABBV,0.0475,0.0031,0.0329,-0.0267
2025-03-24,ABBV,0.0299,0.0031,0.0329,-0.0267
2025-03-31,ABBV,0.0077,0.0031,0.0329,-0.0267
2025-04-07,ABBV,-0.0109,0.0031,0.0329,-0.0267
2025-04-14,ABBV,-0.0062,0.0031,0.0329,-0.0267
2025-04-21,ABBV,-0.0008,0.0031,0.0329,-0.0267
2025-04-28,ABBV,-0.0031,0.0031,0.0329,-0.0267
2025-05-05,ABBV,-0.0091,0.0031,0.0329,-0.0267
2025-05-12,ABBV,-0.0198,0.0031,0.0329,-0.0267
2025-05-19,ABBV,-0.0267,0.0031,0.0329,-0.0267
2025-05-27,ABBV,-0.0352,0.0031,0.0329,-0.0267
2025-06-02,ABBV,-0.0389,0.0031,0.0329,-0.0267
2025-06-09,ABBV,-0.0391,0.0031,0.0329,-0.0267
2025-06-16,ABBV,-0.0394,0.0031,0.0329,-0.0267
2025-06-23,ABBV,-0.0317,0.0031,0.0329,-0.0267
2025-06-30,ABBV,-0.0153,0.0031,0.0329,-0.0267
2025-07-07,ABBV,0.0137,0.0031,0.0329,-0.0267
2025-07-14,ABBV,0.0127,0.0031,0.0329,-0.0267
2025-07-21,ABBV,0.0084,0.0031,0.0329,-0.0267
2025-07-28,ABBV,0.0051,0.0031,0.0329,-0.0267
2025-08-04,ABBV,0.0029,0.0031,0.0329,-0.0267
2025-08-11,ABBV,0.0197,0.0031,0.0329,-0.0267
2025-08-18,ABBV,0.0187,0.0031,0.0329,-0.0267
2025-08-25,ABBV,0.0182,0.0031,0.0329,-0.0267
2025-09-02,ABBV,0.0178,0.0031,0.0329,-0.0267
2024-07-29,ABNB,-0.0372,-0.01,0.0312,-0.0513
2024-08-05,ABNB,-0.0691,-0.01,0.0312,-0.0513
2024-08-12,ABNB,-0.0749,-0.01,0.0312,-0.0513
2024-08-19,ABNB,-0.0742,-0.01,0.0312,-0.0513
2024-08-26,ABNB,-0.0738,-0.01,0.0312,-0.0513
2024-09-03,ABNB,-0.079,-0.01,0.0312,-0.0513
2024-09-09,ABNB,-0.0805,-0.01,0.0312,-0.0513
2024-09-16,ABNB,-0.0564,-0.01,0.0312,-0.0513
2024-09-23,ABNB,-0.0553,-0.01,0.0312,-0.0513
2024-09-30,ABNB,-0.0599,-0.01,0.0312,-0.0513
2024-10-07,ABNB,-0.0538,-0.01,0.0312,-0.0513
2024-10-14,ABNB,-0.0458,-0.01,0.0312,-0.0513
2024-10-21,ABNB,-0.0379,-0.01,0.0312,-0.0513
2024-10-28,ABNB,-0.0105,-0.01,0.0312,-0.0513
2024-11-04,ABNB,0.0418,-0.01,0.0312,-0.0513
2024-11-11,ABNB,0.04,-0.01,0.0312,-0.0513
2024-11-18,ABNB,0.0344,-0.01,0.0312,-0.0513
2024-11-25,ABNB,0.0366,-0.01,0.0312,-0.0513
2024-12-02,ABNB,0.041,-0.01,0.0312,-0.0513
2024-12-09,ABNB,0.0364,-0.01,0.0312,-0.0513
2024-12-16,ABNB,0.0018,-0.01,0.0312,-0.0513
2024-12-23,ABNB,0.0011,-0.01,0.0312,-0.0513
2024-12-30,ABNB,0.0011,-0.01,0.0312,-0.0513
2025-01-06,ABNB,-0.0061,-0.01,0.0312,-0.0513
2025-01-13,ABNB,-0.0111,-0.01,0.0312,-0.0513
2025-01-21,ABNB,-0.0138,-0.01,0.0312,-0.0513
2025-01-27,ABNB,-0.0167,-0.01,0.0312,-0.0513
2025-02-03,ABNB,-0.0237,-0.01,0.0312,-0.0513
2025-02-10,ABNB,0.0685,-0.01,0.0312,-0.0513
2025-02-18,ABNB,0.0633,-0.01,0.0312,-0.0513
2025-02-24,ABNB,0.0629,-0.01,0.0312,-0.0513
2025-03-03,ABNB,0.0454,-0.01,0.0312,-0.0513
2025-03-10,ABNB,0.026,-0.01,0.0312,-0.0513
2025-03-17,ABNB,0.031,-0.01,0.0312,-0.0513
2025-03-24,ABNB,0.0326,-0.01,0.0312,-0.0513
2025-03-31,ABNB,0.0038,-0.01,0.0312,-0.0513
2025-04-07,ABNB,-0.013,-0.01,0.0312,-0.0513
2025-04-14,ABNB,-0.0137,-0.01,0.0312,-0.0513
2025-04-21,ABNB,-0.0089,-0.01,0.0312,-0.0513
2025-04-28,ABNB,0.0,-0.01,0.0312,-0.0513
2025-05-05,ABNB,0.0003,-0.01,0.0312,-0.0513
2025-05-12,ABNB,-0.0633,-0.01,0.0312,-0.0513
2025-05-19,ABNB,-0.0628,-0.01,0.0312,-0.0513
2025-05-27,ABNB,-0.0692,-0.01,0.0312,-0.0513
2025-06-02,ABNB,-0.0431,-0.01,0.0312,-0.0513
2025-06-09,ABNB,-0.0163,-0.01,0.0312,-0.0513
2025-06-16,ABNB,-0.0175,-0.01,0.0312,-0.0513
