Date,Ticker,LT_Trend,lt_avg,lt_hi,lt_lo
2024-08-01,A,-0.017,-0.026,-0.0178,-0.0342
2024-09-01,A,-0.0135,-0.026,-0.0178,-0.0342
2024-10-01,A,-0.0134,-0.026,-0.0178,-0.0342
2024-11-01,A,-0.029,-0.026,-0.0178,-0.0342
2024-12-01,A,-0.0336,-0.026,-0.0178,-0.0342
2025-01-01,A,-0.0289,-0.026,-0.0178,-0.0342
2025-02-01,A,-0.0282,-0.026,-0.0178,-0.0342
2025-03-01,A,-0.0275,-0.026,-0.0178,-0.0342
2025-04-01,A,-0.0428,-0.026,-0.0178,-0.0342
2025-05-01,A,-0.0344,-0.026,-0.0178,-0.0342
2025-06-01,A,-0.0266,-0.026,-0.0178,-0.0342
2025-07-01,A,-0.0229,-0.026,-0.0178,-0.0342
2025-08-01,A,-0.0247,-0.026,-0.0178,-0.0342
2025-09-01,A,-0.0159,-0.026,-0.0178,-0.0342
2024-08-01,AAPL,0.0236,0.024,0.0507,-0.0027
2024-09-01,AAPL,0.0304,0.024,0.0507,-0.0027
2024-10-01,AAPL,0.0425,0.024,0.0507,-0.0027
2024-11-01,AAPL,0.0448,0.024,0.0507,-0.0027
2024-12-01,AAPL,0.0583,0.024,0.0507,-0.0027
2025-01-01,AAPL,0.059,0.024,0.0507,-0.0027
2025-02-01,AAPL,0.0543,0.024,0.0507,-0.0027
2025-03-01,AAPL,0.0417,0.024,0.0507,-0.0027
2025-04-01,AAPL,0.0006,0.024,0.0507,-0.0027
2025-05-01,AAPL,-0.0036,0.024,0.0507,-0.0027
2025-06-01,AAPL,-0.0129,0.024,0.0507,-0.0027
2025-07-01,AAPL,-0.0152,0.024,0.0507,-0.0027
2025-08-01,AAPL,-0.0034,0.024,0.0507,-0.0027
2025-09-01,AAPL,0.0078,0.024,0.0507,-0.0027
2024-08-01,ABBV,0.0266,0.0212,0.0289,0.0135
2024-09-01,ABBV,0.0315,0.0212,0.0289,0.0135
2024-10-01,ABBV,0.0303,0.0212,0.0289,0.0135
2024-11-01,ABBV,0.0106,0.0212,0.0289,0.0135
2024-12-01,ABBV,0.0091,0.0212,0.0289,0.0135
2025-01-01,ABBV,0.011,0.0212,0.0289,0.0135
2025-02-01,ABBV,0.025,0.0212,0.0289,0.0135
2025-03-01,ABBV,0.0309,0.0212,0.0289,0.0135
2025-04-01,ABBV,0.0129,0.0212,0.0289,0.0135
2025-05-01,ABBV,0.0183,0.0212,0.0289,0.0135
2025-06-01,ABBV,0.0212,0.0212,0.0289,0.0135
2025-07-01,ABBV,0.0219,0.0212,0.0289,0.0135
2025-08-01,ABBV,0.024,0.0212,0.0289,0.0135
