Date,Ticker,LT_Trend,lt_avg,lt_hi,lt_lo
2024-08-01,A,-0.01,-0.0205,-0.0121,-0.029
2024-09-01,A,-0.01,-0.0205,-0.0121,-0.029
2024-10-01,A,-0.01,-0.0205,-0.0121,-0.029
2024-11-01,A,-0.02,-0.0205,-0.0121,-0.029
2024-12-01,A,-0.03,-0.0205,-0.0121,-0.029
2025-01-01,A,-0.02,-0.0205,-0.0121,-0.029
2025-02-01,A,-0.02,-0.0205,-0.0121,-0.029
2025-03-01,A,-0.02,-0.0205,-0.0121,-0.029
2025-04-01,A,-0.04,-0.0205,-0.0121,-0.029
2025-05-01,A,-0.03,-0.0205,-0.0121,-0.029
2025-06-01,A,-0.02,-0.0205,-0.0121,-0.029
2025-07-01,A,-0.02,-0.0205,-0.0121,-0.029
2025-08-01,A,-0.02,-0.0205,-0.0121,-0.029
2025-09-01,A,-0.01,-0.0205,-0.0121,-0.029
2024-08-01,AAPL,0.02,0.0221,0.0455,-0.0013
2024-09-01,AAPL,0.03,0.0221,0.0455,-0.0013
2024-10-01,AAPL,0.04,0.0221,0.0455,-0.0013
2024-11-01,AAPL,0.04,0.0221,0.0455,-0.0013
2024-12-01,AAPL,0.05,0.0221,0.0455,-0.0013
2025-01-01,AAPL,0.05,0.0221,0.0455,-0.0013
2025-02-01,AAPL,0.05,0.0221,0.0455,-0.0013
2025-03-01,AAPL,0.04,0.0221,0.0455,-0.0013
2025-04-01,AAPL,0.0006,0.0221,0.0455,-0.0013
2025-05-01,AAPL,-0.0036,0.0221,0.0455,-0.0013
2025-06-01,AAPL,-0.01,0.0221,0.0455,-0.0013
2025-07-01,AAPL,-0.01,0.0221,0.0455,-0.0013
2025-08-01,AAPL,-0.0034,0.0221,0.0455,-0.0013
2025-09-01,AAPL,0.0073,0.0221,0.0455,-0.0013
2024-08-01,ABBV,0.02,0.0185,0.0263,0.0108
2024-09-01,ABBV,0.03,0.0185,0.0263,0.0108
2024-10-01,ABBV,0.03,0.0185,0.0263,0.0108
2024-11-01,ABBV,0.01,0.0185,0.0263,0.0108
2024-12-01,ABBV,0.0091,0.0185,0.0263,0.0108
2025-01-01,ABBV,0.01,0.0185,0.0263,0.0108
2025-02-01,ABBV,0.02,0.0185,0.0263,0.0108
2025-03-01,ABBV,0.03,0.0185,0.0263,0.0108
2025-04-01,ABBV,0.01,0.0185,0.0263,0.0108
2025-05-01,ABBV,0.01,0.0185,0.0263,0.0108
2025-06-01,ABBV,0.02,0.0185,0.0263,0.0108
2025-07-01,ABBV,0.02,0.0185,0.0263,0.0108
2025-08-01,ABBV,0.02,0.0185,0.0263,0.0108
2025-09-01,ABBV,0.02,0.0185,0.0263,0.0108
2024-08-01,ABNB,0.01,0.0,0.0166,-0.0166
2024-09-01,ABNB,0.0013,0.0,0.0166,-0.0166
2024-10-01,ABNB,0.0064,0.0,0.0166,-0.0166
2024-11-01,ABNB,0.02,0.0,0.0166,-0.0166
2024-12-01,ABNB,0.03,0.0,0.0166,-0.0166
2025-01-01,ABNB,0.02,0.0,0.0166,-0.0166
2025-02-01,ABNB,0.003,0.0,0.0166,-0.0166
2025-03-01,ABNB,-0.0048,0.0,0.0166,-0.0166
2025-04-01,ABNB,-0.01,0.0,0.0166,-0.0166
2025-05-01,ABNB,-0.01,0.0,0.0166,-0.0166
2025-06-01,ABNB,-0.0083,0.0,0.0166,-0.0166
2025-07-01,ABNB,-0.02,0.0,0.0166,-0.0166
2025-08-01,ABNB,-0.03,0.0,0.0166,-0.0166
2025-09-01,ABNB,-0.03,0.0,0.0166,-0.0166
2024-08-01,ABT,-0.01,0.0088,0.0171,0.0005
2024-09-01,ABT,-0.0009,0.0088,0.0171,0.0005
2024-10-01,ABT,0.0066,0.0088,0.0171,0.0005
2024-11-01,ABT,0.0081,0.0088,0.0171,0.0005
2024-12-01,ABT,0.0035,0.0088,0.0171,0.0005
2025-01-01,ABT,0.0058,0.0088,0.0171,0.0005
2025-02-01,ABT,0.01,0.0088,0.0171,0.0005
2025-03-01,ABT,0.02,0.0088,0.0171,0.0005
